
=== ResponseTimeの統計 ===
|   Thread | Action              |   Count |   Mean_ResponseTime_ms |   Median_ResponseTime_ms |   Max_ResponseTime_ms |   Min_ResponseTime_ms |   Variance_ResponseTime_ms |
|---------:|:--------------------|--------:|-----------------------:|-------------------------:|----------------------:|----------------------:|---------------------------:|
|       10 | create_user_profile |    3590 |                81.9273 |                       74 |                   314 |                    40 |              1115.11       |
|       10 | create_file_object  |    3590 |                80.9323 |                       73 |                   456 |                    47 |              1133.76       |
|       10 | create_organization |    3590 |                82.1451 |                       74 |                   483 |                    42 |              1161.63       |
|       50 | create_user_profile |   17950 |               169.137  |                      157 |                  1145 |                    38 |              5648.53       |
|       50 | create_file_object  |   17950 |               184.05   |                      174 |                   677 |                    45 |              4728.04       |
|       50 | create_organization |   17950 |               140.116  |                      124 |                  1709 |                    37 |              9247.45       |
|      100 | create_user_profile |   35900 |               642.443  |                      276 |                 10122 |                    40 |                 1.3832e+06 |
|      100 | create_file_object  |   35900 |               270.376  |                      244 |                  1498 |                    46 |             17913.7        |
|      100 | create_organization |   35900 |               245.551  |                      223 |                  1352 |                    45 |             16637.1        |

=== Metrics Memory使用量の統計 ===
| Namespace                 |        mean |      median |         max |         min |         var |   Thread | Action              |
|:--------------------------|------------:|------------:|------------:|------------:|------------:|---------:|:--------------------|
| MemoryUsage               | 4.10486e+08 | 4.10472e+08 | 4.10722e+08 | 4.10472e+08 | 1.75825e+09 |       10 | create_user_profile |
| AuthMemoryUsage           | 4.10486e+08 | 4.10472e+08 | 4.10722e+08 | 4.10472e+08 | 1.75825e+09 |       10 | create_user_profile |
| WebsocketMemoryUsage      | 7.55352e+08 | 7.5629e+08  | 7.76147e+08 | 7.38423e+08 | 1.31451e+14 |       10 | create_user_profile |
| WebGatewayMemoryUsage     | 1.00108e+09 | 1.00106e+09 | 1.00135e+09 | 1.00037e+09 | 4.21199e+10 |       10 | create_user_profile |
| JobMemoryUsage            | 6.42946e+08 | 6.43351e+08 | 6.43584e+08 | 6.42068e+08 | 4.18149e+11 |       10 | create_user_profile |
| UserProfileMemoryUsage    | 4.70926e+08 | 4.7097e+08  | 4.71904e+08 | 4.68898e+08 | 6.07673e+11 |       10 | create_user_profile |
| UserPreferenceMemoryUsage | 3.55088e+08 | 3.55082e+08 | 3.55176e+08 | 3.54845e+08 | 7.78942e+09 |       10 | create_user_profile |
| OrganizationMemoryUsage   | 7.75089e+08 | 7.75332e+08 | 7.96717e+08 | 7.51809e+08 | 1.70971e+14 |       10 | create_user_profile |
| TeamMemoryUsage           | 4.53077e+08 | 4.53075e+08 | 4.53083e+08 | 4.53075e+08 | 1.19305e+07 |       10 | create_user_profile |
| PlanMemoryUsage           | 4.37949e+08 | 4.37948e+08 | 4.37961e+08 | 4.3794e+08  | 7.17293e+07 |       10 | create_user_profile |
| StorageMemoryUsage        | 4.2678e+08  | 4.2657e+08  | 4.27622e+08 | 4.2657e+08  | 1.7625e+11  |       10 | create_user_profile |
| MemoryUsage               | 4.10289e+08 | 4.10305e+08 | 4.10313e+08 | 4.1021e+08  | 1.07374e+09 |       10 | create_file_object  |
| AuthMemoryUsage           | 4.10289e+08 | 4.10305e+08 | 4.10313e+08 | 4.1021e+08  | 1.07374e+09 |       10 | create_file_object  |
| WebsocketMemoryUsage      | 7.34559e+08 | 7.33811e+08 | 7.361e+08   | 7.33045e+08 | 1.64434e+12 |       10 | create_file_object  |
