Success,SendDatetime,ReceivedDatetime,ResponseTime,StatusCode,CPUUsage,AuthCPUUsage,WebsocketCPUUsage,WebGatewayCPUUsage,JobCPUUsage,UserProfileCPUUsage,UserPreferenceCPUUsage,OrganizationCPUUsage,TeamCPUUsage,PlanCPUUsage,StorageCPUUsage
TRUE,2024-12-10T04:04:31.326279773+09:00,2024-12-10T04:04:31.419813696+09:00,93,200,0.002015774,0.002015774,0.419649938,0.103644492,0.427968355,0.306573739,0.004973299,0.217141174,0.056207352,0.008404382,0.003140416
TRUE,2024-12-10T04:04:36.326697975+09:00,2024-12-10T04:04:36.357917186+09:00,31,200,0.003515936,0.003515936,0.453820123,0.102971938,0.414993931,0.313035734,0.005016131,0.217141174,0.054537338,0.008348084,0.003474072
TRUE,2024-12-10T04:04:41.32575999+09:00,2024-12-10T04:04:41.355486897+09:00,29,200,0.003307909,0.003307909,0.453820123,0.091074048,0.4022321,0.313035734,0.005025328,0.220561388,0.056444875,0.008465787,0.003474072
TRUE,2024-12-10T04:04:46.325899693+09:00,2024-12-10T04:04:46.409670955+09:00,83,200,0.003207627,0.003207627,0.460819708,0.091074048,0.451260763,0.311147686,0.005025328,0.220561388,0.053438025,0.008018631,0.003430981
TRUE,2024-12-10T04:04:51.326430064+09:00,2024-12-10T04:04:51.349121758+09:00,22,200,0.003227068,0.003227068,0.460819708,0.086009014,0.423255524,0.304673571,0.004671956,0.215513307,0.053444066,0.007782435,0.003430981
TRUE,2024-12-10T04:04:56.326505894+09:00,2024-12-10T04:04:56.348886495+09:00,22,200,0.003665327,0.003665327,0.460819708,0.081828975,0.450770044,0.289593075,0.005037385,0.230444785,0.050612852,0.00841824,0.003406416
TRUE,2024-12-10T04:05:01.831417712+09:00,2024-12-10T04:05:01.858482445+09:00,27,200,0.003545942,0.003545942,0.433308769,0.073581236,0.450770044,0.280992818,0.005037385,0.241118235,0.050453448,0.00841824,0.003403364
TRUE,2024-12-10T04:05:06.831842652+09:00,2024-12-10T04:05:06.849103886+09:00,17,200,0.00360677,0.00360677,0.464661271,0.069308535,0.422241249,0.291244959,0.004778557,0.241118235,0.048227762,0.008500634,0.003410572
TRUE,2024-12-10T04:05:11.831238285+09:00,2024-12-10T04:05:11.860020399+09:00,28,200,0.00360677,0.00360677,0.445315573,0.067184811,0.450543351,0.276840763,0.004634951,0.237194694,0.048227762,0.008500634,0.003410572
TRUE,2024-12-10T04:05:16.831897506+09:00,2024-12-10T04:05:16.864812932+09:00,32,200,0.003655385,0.003655385,0.471093026,0.065225231,0.450543351,0.288563141,0.005069578,0.251736278,0.045090412,0.008500634,0.003204234
TRUE,2024-12-10T04:05:21.831017089+09:00,2024-12-10T04:05:21.850958245+09:00,19,200,0.003655385,0.003655385,0.471093026,0.059385385,0.448647218,0.276525767,0.004756372,0.257917543,0.044310376,0.007999386,0.003108919
TRUE,2024-12-10T04:05:26.831462684+09:00,2024-12-10T04:05:26.871117089+09:00,39,200,0.003655385,0.003655385,0.449387448,0.055283641,0.419406636,0.276525767,0.004985226,0.257917543,0.044310376,0.008509498,0.003369948
TRUE,2024-12-10T04:05:31.831050288+09:00,2024-12-10T04:05:31.853854661+09:00,22,200,0.003425836,0.003425836,0.449138177,0.054136133,0.448132273,0.257046971,0.004985226,0.261134226,0.040473235,0.008509498,0.003166656
TRUE,2024-12-10T04:05:37.336112172+09:00,2024-12-10T04:05:37.358214689+09:00,22,200,0.003514733,0.003514733,0.480290144,0.053635822,0.448132273,0.266643302,0.004736402,0.242156296,0.040473235,0.008541186,0.003381023
TRUE,2024-12-10T04:05:42.337305116+09:00,2024-12-10T04:05:42.359703426+09:00,22,200,0.003514733,0.003514733,0.480290144,0.056126422,0.448132273,0.249373705,0.004595189,0.267803504,0.040473235,0.008541186,0.003383994
TRUE,2024-12-10T04:05:47.336625951+09:00,2024-12-10T04:05:47.369313401+09:00,32,200,0.003369059,0.003369059,0.461704305,0.058929473,0.414685672,0.268190434,0.005074944,0.258469698,0.034370605,0.008541186,0.003160273
TRUE,2024-12-10T04:05:52.336557656+09:00,2024-12-10T04:05:52.381349015+09:00,44,200,0.003266462,0.003266462,0.447980065,0.060367595,0.450041034,0.268307175,0.004738847,0.277689185,0.035891946,0.007950883,0.003042642
TRUE,2024-12-10T04:05:57.336589604+09:00,2024-12-10T04:05:57.40960015+09:00,73,200,0.0036056,0.0036056,0.486426103,0.06446017,0.450041034,0.270327382,0.005090637,0.282371201,0.035891946,0.008496525,0.003347083
TRUE,2024-12-10T04:06:02.33611764+09:00,2024-12-10T04:06:02.382244291+09:00,46,200,0.003370533,0.003370533,0.488640062,0.071699624,0.453561319,0.259710653,0.005090637,0.289846924,0.032810179,0.008496525,0.003157932
TRUE,2024-12-10T04:06:07.854966544+09:00,2024-12-10T04:06:07.916428095+09:00,61,200,0.00346724,0.00346724,0.490251587,0.069509823,0.453561319,0.25306935,0.004744363,0.289846924,0.032810179,0.008531301,0.003065273
