Namespace,mean,median,max,min,var,Thread,Action
CPUUsage,78.84186854285713,78.816871,79.068365,78.601877,0.02231172677937283,10,type1
AuthCPUUsage,78.84186854285713,78.816871,79.068365,78.601877,0.02231172677937283,10,type1
WebsocketCPUUsage,132.10099714285715,132.084142,132.566508,131.659248,0.0735821688396563,10,type1
WebGatewayCPUUsage,598.7386421142857,598.514396,601.9079489999999,595.505005,4.487225789316122,10,type1
JobCPUUsage,228.7177701142857,228.76105,230.031134,227.542625,0.5979926346549364,10,type1
UserProfileCPUUsage,249.7110122285714,249.672078,250.562829,248.955806,0.20141848076118277,10,type1
UserPreferenceCPUUsage,186.8578233142857,186.914789,187.373167,186.30616,0.09651485808916122,10,type1
OrganizationCPUUsage,193.9164466,193.920952,194.709537,193.211947,0.19892551290100804,10,type1
TeamCPUUsage,364.638119,364.792157,367.258952,362.180369,2.488105952643377,10,type1
PlanCPUUsage,125.47795400000003,125.45233,126.131575,124.77264,0.1910498223561761,10,type1
StorageCPUUsage,127.98080962857145,127.995614,128.538515,127.469284,0.12190411158777034,10,type1
CPUUsage,90.00744261111112,90.03844,90.28186,89.078513,0.07344999609361565,10,type2
AuthCPUUsage,90.00744261111112,90.03844,90.28186,89.078513,0.07344999609361565,10,type2
WebsocketCPUUsage,154.3246096388889,154.299781,154.812131,153.903082,0.07591484870166326,10,type2
WebGatewayCPUUsage,624.8236325555555,624.962707,631.833379,618.138995,16.983108062708684,10,type2
JobCPUUsage,292.4919531944444,292.435932,293.970136,291.056716,0.6603978552635397,10,type2
UserProfileCPUUsage,287.5460981111111,287.68017050000003,289.719915,284.831362,2.1465477208436687,10,type2
UserPreferenceCPUUsage,213.10099227777778,213.153342,214.931071,210.776339,1.46272599579329,10,type2
OrganizationCPUUsage,230.21969033333335,230.28270550000002,230.911224,229.413004,0.21046968647685718,10,type2
TeamCPUUsage,407.1626125833334,407.0192,411.601268,402.313945,8.72573385462846,10,type2
PlanCPUUsage,159.2353041111111,159.25601799999998,159.877856,158.458645,0.19150991907073492,10,type2
StorageCPUUsage,154.03666905555554,154.05877,154.557916,153.506498,0.1020721053226852,10,type2
