Namespace,mean,median,max,min,var,Thread,Action
MemoryUsage,416217497.6,416292864.0,416342016.0,415899648.0,31062719355.482353,10,type1
AuthMemoryUsage,416217497.6,416292864.0,416342016.0,415899648.0,31062719355.482353,10,type1
WebsocketMemoryUsage,361110615.7714286,361107456.0,361201664.0,361005056.0,3059459273.3579826,10,type1
WebGatewayMemoryUsage,1206763168.9142857,1206734848.0,1207144448.0,1206607872.0,19046454301.25714,10,type1
JobMemoryUsage,363024618.05714285,363024384.0,363036672.0,363016192.0,47314568.82016808,10,type1
UserProfileMemoryUsage,436615460.5714286,436576256.0,436781056.0,436527104.0,5417348947.89916,10,type1
UserPreferenceMemoryUsage,383018715.4285714,383053824.0,383123456.0,382947328.0,4088988198.7226887,10,type1
OrganizationMemoryUsage,394390381.71428573,394395648.0,394412032.0,394375168.0,153532674.1512605,10,type1
TeamMemoryUsage,421482964.1142857,421380096.0,423677952.0,421179392.0,309467366284.6924,10,type1
PlanMemoryUsage,382249369.6,382255104.0,382255104.0,382226432.0,135402002.07058826,10,type1
StorageMemoryUsage,415886072.6857143,415924224.0,415981568.0,415748096.0,8019283671.986555,10,type1
MemoryUsage,417788472.8888889,417808384.0,417996800.0,417411072.0,18601764870.501583,10,type2
AuthMemoryUsage,417788472.8888889,417808384.0,417996800.0,417411072.0,18601764870.501583,10,type2
WebsocketMemoryUsage,358075733.3333333,358047744.0,358309888.0,357945344.0,6920361925.485713,10,type2
WebGatewayMemoryUsage,1204892672.0,1204707328.0,1205391360.0,1204424704.0,70987157152.91429,10,type2
JobMemoryUsage,363384376.8888889,363329536.0,363642880.0,363311104.0,11374739403.987303,10,type2
UserProfileMemoryUsage,440239445.3333333,440178688.0,440717312.0,438689792.0,159396015074.74286,10,type2
UserPreferenceMemoryUsage,386019214.2222222,386082816.0,386129920.0,384589824.0,66272386629.892075,10,type2
OrganizationMemoryUsage,396557084.4444444,396558336.0,396562432.0,396554240.0,5579090.082539682,10,type2
TeamMemoryUsage,427744824.8888889,428789760.0,429010944.0,422305792.0,5144074447790.731,10,type2
PlanMemoryUsage,383160547.5555556,383160320.0,383164416.0,383160320.0,905437.053968254,10,type2
StorageMemoryUsage,422972871.1111111,422973440.0,422985728.0,422969344.0,25072617.244444445,10,type2
MemoryUsage,411877489.7777778,412073984.0,412397568.0,409870336.0,509296345816.1777,10,type3
AuthMemoryUsage,411877489.7777778,412073984.0,412397568.0,409870336.0,509296345816.1777,10,type3
WebsocketMemoryUsage,356185543.1111111,356163584.0,356438016.0,356151296.0,6043779019.987301,10,type3
WebGatewayMemoryUsage,1113162524.4444444,1113878528.0,1120301056.0,1102340096.0,22448532236450.535,10,type3
JobMemoryUsage,362601699.5555556,362389504.0,369004544.0,361828352.0,2584955613639.112,10,type3
UserProfileMemoryUsage,428232817.7777778,427728896.0,435597312.0,423395328.0,11446938675050.46,10,type3
UserPreferenceMemoryUsage,365739918.2222222,366077952.0,375599104.0,357928960.0,20863062954829.207,10,type3
OrganizationMemoryUsage,377699328.0,376561664.0,392069120.0,375160832.0,13959536619402.97,10,type3
TeamMemoryUsage,383234844.4444444,379150336.0,393322496.0,376791040.0,38071111470388.82,10,type3
PlanMemoryUsage,375832234.6666667,375824384.0,375894016.0,375799808.0,778822334.1714286,10,type3
StorageMemoryUsage,412653795.5555556,412696576.0,412721152.0,412577792.0,2795989622.653969,10,type3
MemoryUsage,415690069.3333333,415715328.0,415723520.0,415584256.0,2469126846.1714287,50,type1
AuthMemoryUsage,415690069.3333333,415715328.0,415723520.0,415584256.0,2469126846.1714287,50,type1
WebsocketMemoryUsage,361054094.2222222,361070592.0,361213952.0,360968192.0,3574492390.8063493,50,type1
WebGatewayMemoryUsage,1205363143.1111112,1206075392.0,1206579200.0,1202577408.0,1939473758799.6443,50,type1
JobMemoryUsage,363010048.0,363008000.0,363016192.0,363003904.0,9107631.542857142,50,type1
UserProfileMemoryUsage,436394894.2222222,436414464.0,436527104.0,436187136.0,17124850567.720633,50,type1
UserPreferenceMemoryUsage,382929351.1111111,382941184.0,382947328.0,382849024.0,870764140.9015875,50,type1
OrganizationMemoryUsage,394355825.7777778,394364928.0,394375168.0,394301440.0,527869802.4634923,50,type1
