Namespace,Action,10_CPU,50_CPU,100_CPU,Thread50/Thread10_CPU,Thread100/Thread50_CPU,10_Memory,50_Memory,100_Memory,Thread50/Thread10_Memory,Thread100/Thread50_Memory,Thread50/Thread10_Ratio,Thread100/Thread50_Ratio
OrganizationUsage,create_file_object,0.3500164093869319,0.2787494958395127,0.3191357043263353,0.7963897930607136,1.1448835211887687,751796224.0,867684352.0,842268672.0,1.154148324107571,0.9707086108659017,0.6900237832745725,1.179430684319878
OrganizationUsage,create_organization,0.3494880639104071,0.3588530698318974,0.4179192255486979,1.026796354120669,1.1645970473220968,750465024.0,850776064.0,625209344.0,1.1336651766465269,0.7348694567881026,0.905731582192562,1.5847672488828242
OrganizationUsage,create_user_profile,0.3173543177903775,0.3165138558465927,0.2922792486717995,0.9973516605993055,0.9234327132062768,796717056.0,842403840.0,842534912.0,1.0573438006076776,1.000155592833005,0.9432614633254638,0.923289056046364
PlanUsage,create_file_object,0.0085244782573069,0.0078894950752444,0.0088160938665088,0.925510610397978,1.1174471601068456,437940224.0,438235136.0,437981184.0,1.0006734069716328,0.9994205120056827,0.924887784515907,1.118095082783824
PlanUsage,create_organization,0.0088132470267665,0.008772451246295,0.0092877191582195,0.9953710839662613,1.058737050507077,437944320.0,438218752.0,437870592.0,1.0006266367377479,0.9992055109499285,0.9947477384885327,1.0595788743204118
PlanUsage,create_user_profile,0.0085629334819865,0.0082717024914508,0.0089096581375838,0.9659893433543132,1.077125071506423,437960704.0,438239232.0,438239232.0,1.00063596573267,1.0,0.9653753976822246,1.077125071506423
StorageUsage,create_file_object,0.0605496340699226,0.1498587488452221,0.3143784934661046,2.4749736500829305,2.097832097816342,427618304.0,436379648.0,457621504.0,1.0204887019990614,1.0486774671948038,2.42528275446327,2.000455014474575
StorageUsage,create_organization,0.0043802381890515,0.0035881978676351,0.0045018059886584,0.8191787096427492,1.254614755017799,423845888.0,430579712.0,423735296.0,1.0158874350103404,0.9841041837103556,0.8063675968532981,1.2748800135037948
StorageUsage,create_user_profile,0.043564545448747,0.0033802107772889,0.2031720228930768,0.0775908652889691,60.10631770603105,427622400.0,430579712.0,442970112.0,1.0069157088122604,1.0287760887349937,0.07705795491113539,58.42507263163468
TeamUsage,create_file_object,0.016765890021944,0.0797109379234748,0.0189378412382594,4.7543517116684715,0.23758146286574078,453177344.0,453279744.0,453181440.0,1.000225960104484,0.9997831273042724,4.753277660551651,0.23763299897482226
TeamUsage,create_organization,0.0548033485982895,0.0564448745446931,0.0167171906669238,1.0299530227329,0.29616844402208947,453181440.0,453263360.0,452980736.0,1.0001807664497468,0.9993764684619555,1.0297668754307614,0.2963532296071509
TeamUsage,create_user_profile,0.0075918576336171,0.0697586250906455,0.0773736415753542,9.188610806102455,1.1091623648661886,453083136.0,453271552.0,453402624.0,1.0004158530411513,1.0002891688203719,9.184791282715198,1.1088417224133391
UserPreferenceUsage,create_file_object,0.0052548176501325,0.0073545506554236,0.0052403592343863,1.399582467954555,0.7125328901666899,354844672.0,356093952.0,355098624.0,1.0035206390248408,0.9972048724938749,1.394672330122261,0.714530092883262
UserPreferenceUsage,create_organization,0.0051106038524345,0.0059978001178284,0.0055933105006194,1.1735991070744554,0.9325603372465416,354840576.0,355704832.0,354766848.0,1.002435617734991,0.9973630271066996,1.1707476134240016,0.9350259753981985
UserPreferenceUsage,create_user_profile,0.0061324888781463,0.005265045324175,0.0102739416217563,0.8585495104503953,1.9513491317125866,355176448.0,355708928.0,355946496.0,1.0014991985054145,1.0006678719067743,0.8572643010914538,1.950046750271184
UserProfileUsage,create_file_object,0.0218216361951302,0.3114542241526146,0.0908118029636139,14.272725535682788,0.2915735152113895,468901888.0,575942656.0,471908352.0,1.22827966945614,0.8193669058608501,11.620094259153937,0.35585219896702336
UserProfileUsage,create_organization,0.0350346692704483,0.3130357336795388,0.1853258667357217,8.935027508411048,0.5920278319581357,469004288.0,528736256.0,467337216.0,1.127359108494974,0.8838758657019351,7.925626751123982,0.6698087988724224
UserProfileUsage,create_user_profile,0.1707072555732816,0.3594384395283982,0.4194583553516526,2.105583844818463,1.1669824627048895,471904256.0,568963072.0,543191040.0,1.2056748053571273,0.9547035066627312,1.7463944966443732,1.2223506612898094
