Namespace,mean,median,max,min,var,Thread,Action
CPUUsage,0.0030124839852040167,0.0031054065162845,0.0033310388291298,0.0022474658440657,7.868006818528135e-08,10,create_user_profile
AuthCPUUsage,0.0030124839852040167,0.0031054065162845,0.0033310388291298,0.0022474658440657,7.868006818528135e-08,10,create_user_profile
WebsocketCPUUsage,0.2770040677347186,0.2808704782064547,0.2866308427715732,0.2595390500769545,7.435642919505118e-05,10,create_user_profile
WebGatewayCPUUsage,0.03423367681891214,0.033921226965925144,0.0392407288682333,0.0294470598757866,4.597769092507254e-06,10,create_user_profile
JobCPUUsage,0.10791941893681642,0.10870778297795314,0.1194730435470676,0.0964863916967018,3.4106649952913635e-05,10,create_user_profile
UserProfileCPUUsage,0.10199131305246495,0.11364583270868145,0.1707072555732816,0.0078810519331228,0.002667353664462703,10,create_user_profile
UserPreferenceCPUUsage,0.005760869290574182,0.0059648829002246,0.0061324888781463,0.0047974749111208,1.4209548627199344e-07,10,create_user_profile
OrganizationCPUUsage,0.30878970068808503,0.31507256887386265,0.3173543177903775,0.2857480140598892,0.00011316402296223425,10,create_user_profile
TeamCPUUsage,0.007295193113336084,0.0073889476334342,0.0075918576336171,0.0066774307037081,7.699523198603672e-08,10,create_user_profile
PlanCPUUsage,0.008239316862967009,0.0083458604211138,0.0085629334819865,0.007257549382716,9.491445290668709e-08,10,create_user_profile
StorageCPUUsage,0.018700333144088924,0.01402505652938335,0.043564545448747,0.003284365967048,0.00021452361026218355,10,create_user_profile
CPUUsage,0.0030322416149954944,0.0031266528788582,0.0032825893433106,0.0024109333901552,5.1133982439089254e-08,10,create_file_object
AuthCPUUsage,0.0030322416149954944,0.0031266528788582,0.0032825893433106,0.0024109333901552,5.1133982439089254e-08,10,create_file_object
WebsocketCPUUsage,0.2695945460290216,0.2731938125403853,0.2785070383933568,0.2492032348426135,8.522145690965474e-05,10,create_file_object
WebGatewayCPUUsage,0.03313569287649277,0.0319292734209393,0.0485781723005764,0.0162468865589085,7.337148384734397e-05,10,create_file_object
JobCPUUsage,0.13292641376299083,0.1273559358709549,0.1703565902779044,0.1015037038888887,0.00039902025639812456,10,create_file_object
UserProfileCPUUsage,0.011581547846091207,0.0084944006977009,0.0218216361951302,0.00782216997972,1.9516445269888517e-05,10,create_file_object
UserPreferenceCPUUsage,0.0050226208365048665,0.0050858309786162,0.0052548176501325,0.0044241266666666,4.568878339279001e-08,10,create_file_object
OrganizationCPUUsage,0.3226213769076727,0.3219974069621806,0.3500164093869319,0.2860849566666665,0.0002591371289712127,10,create_file_object
TeamCPUUsage,0.013165726956906515,0.0131375515151513,0.016765890021944,0.0090027201469547,7.477020607142027e-06,10,create_file_object
PlanCPUUsage,0.007937673914489558,0.0079981136277296,0.0085244782573069,0.0071401608962732,7.885296050050312e-08,10,create_file_object
StorageCPUUsage,0.03404298845737674,0.0307205054965233,0.0605496340699226,0.0041859747492803,0.00028715477956243064,10,create_file_object
CPUUsage,0.0028830273297869996,0.00294974159313215,0.0031674953754116,0.0020871622605468,7.656923139810828e-08,10,create_organization
AuthCPUUsage,0.0028830273297869996,0.00294974159313215,0.0031674953754116,0.0020871622605468,7.656923139810828e-08,10,create_organization
WebsocketCPUUsage,0.24936447167295606,0.247708147363079,0.2612138767344386,0.2310113567467275,9.04554582504394e-05,10,create_organization
WebGatewayCPUUsage,0.01710605701166372,0.0173981360883187,0.0310730068483884,0.0024331359035256,8.833776252472864e-05,10,create_organization
JobCPUUsage,0.20947893676979606,0.211119882437241,0.2330678895335104,0.1829619675645364,0.00016356480451608742,10,create_organization
UserProfileCPUUsage,0.02043761372587714,0.018933393081468748,0.0350346692704483,0.0076671716374377,7.47911834042428e-05,10,create_organization
UserPreferenceCPUUsage,0.0049861915654571725,0.0050517813742985505,0.0051106038524345,0.0046010181818181,2.347431620990956e-08,10,create_organization
OrganizationCPUUsage,0.2801984126587278,0.27278792887731523,0.3494880639104071,0.2282845327601977,0.0011204375892182007,10,create_organization
TeamCPUUsage,0.04518803478077751,0.04771301529546315,0.0548033485982895,0.0268552921382354,6.801627301068384e-05,10,create_organization
PlanCPUUsage,0.008258750292409668,0.008332167896784499,0.0088132470267665,0.0073343355555555,1.6176628948719994e-07,10,create_organization
StorageCPUUsage,0.004085535357659561,0.0040820450345433,0.0043802381890515,0.0037249147419081,2.4129673314094058e-08,10,create_organization
CPUUsage,0.0029329906524864506,0.00300372321576865,0.003281514047803,0.0021873165541489,7.834604600878004e-08,50,create_user_profile
AuthCPUUsage,0.0029329906524864506,0.00300372321576865,0.003281514047803,0.0021873165541489,7.834604600878004e-08,50,create_user_profile
WebsocketCPUUsage,0.544509451668174,0.5509103858749107,0.5690562535134757,0.4893297444444444,0.00043689597727294445,50,create_user_profile
WebGatewayCPUUsage,0.08016603260844773,0.07024569969924815,0.1226239478063287,0.0609520909021627,0.0003741529021834573,50,create_user_profile
JobCPUUsage,0.3921340644337182,0.38682154222840176,0.4377522937414263,0.3434151905555553,0.0006814333522891114,50,create_user_profile
UserProfileCPUUsage,0.30768442556754083,0.30860720091659694,0.3594384395283982,0.2461594833820792,0.0010992704132915243,50,create_user_profile
UserPreferenceCPUUsage,0.005081427950448227,0.0051544632289234,0.005265045324175,0.0045042363636363,4.353379331002862e-08,50,create_user_profile
OrganizationCPUUsage,0.2542839725906768,0.24752765197461807,0.3165138558465927,0.2012877205953813,0.0009966003389769182,50,create_user_profile
TeamCPUUsage,0.061363593959698294,0.061844035388816096,0.0697586250906455,0.0521273552956466,2.4414988973876822e-05,50,create_user_profile
PlanCPUUsage,0.007701573960029716,0.0077441695305418504,0.0082717024914508,0.0070550668138276,8.175851933816754e-08,50,create_user_profile
StorageCPUUsage,0.0032777538720468913,0.0033360508336294503,0.0033802107772889,0.0030314737033276,1.2902673426115716e-08,50,create_user_profile
CPUUsage,0.003433276408753657,0.0036411546649735,0.0038935083428783,0.0025377446136184,2.0144611005040248e-07,50,create_file_object
AuthCPUUsage,0.003433276408753657,0.0036411546649735,0.0038935083428783,0.0025377446136184,2.0144611005040248e-07,50,create_file_object
WebsocketCPUUsage,0.5869380713872766,0.5905970013795103,0.6215209638974104,0.5105317356604672,0.0006917257839286126,50,create_file_object
WebGatewayCPUUsage,0.09385835456915655,0.0909635847978166,0.1247657213198605,0.0791467843293752,0.0001211025411088778,50,create_file_object
JobCPUUsage,0.34010105389765927,0.3416118611645892,0.3573036570743405,0.3001633250000004,0.00021122225383826766,50,create_file_object
UserProfileCPUUsage,0.24127088078193662,0.2230831499347949,0.3114542241526146,0.1841464937810666,0.0018312495499077017,50,create_file_object
UserPreferenceCPUUsage,0.005806663205127569,0.0050936349886565,0.0073545506554236,0.0045407024280572,1.305116547517362e-06,50,create_file_object
OrganizationCPUUsage,0.25304005853614064,0.2544900958307103,0.2787494958395127,0.2103476122072175,0.0004504850332340665,50,create_file_object
TeamCPUUsage,0.07476822913791144,0.075147444539772,0.0797109379234748,0.0670581565293858,1.0740465880687409e-05,50,create_file_object
PlanCPUUsage,0.007620624687289592,0.007760273834557,0.0078894950752444,0.0068755866666665,9.772029312803981e-08,50,create_file_object
StorageCPUUsage,0.07385793916175287,0.0756027629953435,0.1498587488452221,0.0030580947905577,0.002199939227469556,50,create_file_object
CPUUsage,0.0033450102557975947,0.0035147327057498,0.0038621495327103,0.002015774168236,2.135775125122992e-07,50,create_organization
AuthCPUUsage,0.0033450102557975947,0.0035147327057498,0.0038621495327103,0.002015774168236,2.135775125122992e-07,50,create_organization
WebsocketCPUUsage,0.47562408750532204,0.4725813482944474,0.5133812529321614,0.4196499378801844,0.0005489291744697029,50,create_organization
WebGatewayCPUUsage,0.08771890565889735,0.0875471800832,0.1341008727162423,0.053635822488327,0.0006051478784640348,50,create_organization
JobCPUUsage,0.4482290993131731,0.4507700437603743,0.4751277331362221,0.4022320998263862,0.00033227739440671846,50,create_organization
UserProfileCPUUsage,0.27600703956360584,0.2760605838338126,0.3130357336795388,0.242827909090909,0.00032890029940806553,50,create_organization
UserPreferenceCPUUsage,0.005315419485173164,0.0050827904935394005,0.0059978001178284,0.0045951885141809,2.4177360854327877e-07,50,create_organization
OrganizationCPUUsage,0.28239159405379577,0.28236569727611494,0.3588530698318974,0.2155133067847329,0.0021182564978068706,50,create_organization
TeamCPUUsage,0.04013214154366873,0.03606606172678385,0.0564448745446931,0.0309345487382394,6.571243160170454e-05,50,create_organization
PlanCPUUsage,0.008313606629339833,0.00843911436333825,0.008772451246295,0.0076040546679124,7.794520873651077e-08,50,create_organization
StorageCPUUsage,0.0033892940977709052,0.0034084938389712,0.0035881978676351,0.0030426420738406,2.671513950969552e-08,50,create_organization
CPUUsage,0.0027612419329884497,0.0028478493559402,0.003080020332816,0.0019080502643787,1.0019581215477398e-07,100,create_user_profile
AuthCPUUsage,0.0027612419329884497,0.0028478493559402,0.003080020332816,0.0019080502643787,1.0019581215477398e-07,100,create_user_profile
WebsocketCPUUsage,0.35901709132849624,0.356111808115964,0.3935425616785931,0.3336045626628661,0.0002586056816599126,100,create_user_profile
WebGatewayCPUUsage,0.17881859907833988,0.16147165972776414,0.2545325666196876,0.1454262728886058,0.0012016392380113595,100,create_user_profile
JobCPUUsage,0.38962418215802835,0.38832232725458726,0.4386074616688664,0.3515063055430467,0.00047991839316082423,100,create_user_profile
UserProfileCPUUsage,0.21969992946283534,0.2139502421429556,0.4194583553516526,0.0076853641975307,0.017098833266724362,100,create_user_profile
UserPreferenceCPUUsage,0.009042798306857617,0.009687114987390201,0.0102739416217563,0.0049028474150781,2.8707161707881145e-06,100,create_user_profile
