Namespace,mean,median,max,min,var,Thread,Action
MemoryUsage,410486101.3333333,410472448.0,410722304.0,410472448.0,1758252236.8,10,create_user_profile
AuthMemoryUsage,410486101.3333333,410472448.0,410722304.0,410472448.0,1758252236.8,10,create_user_profile
WebsocketMemoryUsage,755352007.1111112,756289536.0,776146944.0,738422784.0,131451040237808.58,10,create_user_profile
WebGatewayMemoryUsage,1001076622.2222222,1001064448.0,1001345024.0,1000370176.0,42119906476.29207,10,create_user_profile
JobMemoryUsage,642946161.7777778,643350528.0,643584000.0,642068480.0,418149206568.6349,10,create_user_profile
UserProfileMemoryUsage,470925767.1111111,470970368.0,471904256.0,468897792.0,607673426570.1587,10,create_user_profile
UserPreferenceMemoryUsage,355087701.3333333,355082240.0,355176448.0,354844672.0,7789421714.285712,10,create_user_profile
OrganizationMemoryUsage,775089379.5555556,775331840.0,796717056.0,751808512.0,170970592252593.16,10,create_user_profile
TeamMemoryUsage,453076764.4444444,453074944.0,453083136.0,453074944.0,11930464.711111117,10,create_user_profile
PlanMemoryUsage,437949212.4444444,437948416.0,437960704.0,437940224.0,71729256.02539681,10,create_user_profile
StorageMemoryUsage,426780103.1111111,426569728.0,427622400.0,426569728.0,176250073387.07294,10,create_user_profile
MemoryUsage,410289493.3333333,410304512.0,410312704.0,410210304.0,1073741823.9999995,10,create_file_object
AuthMemoryUsage,410289493.3333333,410304512.0,410312704.0,410210304.0,1073741823.9999995,10,create_file_object
WebsocketMemoryUsage,734559004.4444444,733810688.0,736100352.0,733044736.0,1644339560552.0254,10,create_file_object
WebGatewayMemoryUsage,1000011548.4444444,1000194048.0,1000480768.0,998404096.0,245816360127.7968,10,create_file_object
JobMemoryUsage,641821127.1111112,641832960.0,642076672.0,641441792.0,31949837757.358734,10,create_file_object
UserProfileMemoryUsage,468898247.1111111,468897792.0,468901888.0,468897792.0,1704352.1015873018,10,create_file_object
UserPreferenceMemoryUsage,354844672.0,354844672.0,354844672.0,354844672.0,0.0,10,create_file_object
OrganizationMemoryUsage,751785756.4444444,751783936.0,751796224.0,751783936.0,17682653.05396826,10,create_file_object
TeamMemoryUsage,453134677.3333333,453177344.0,453177344.0,453074944.0,2621439999.9999995,10,create_file_object
PlanMemoryUsage,437936355.5555556,437938176.0,437940224.0,437932032.0,16244605.96825397,10,create_file_object
StorageMemoryUsage,426156259.5555556,425883648.0,427618304.0,423866368.0,911619218389.7395,10,create_file_object
MemoryUsage,410204920.6857143,410206208.0,410206208.0,410202112.0,3722004.221848739,10,create_organization
