Namespace,Action,10_CPU,50_CPU,100_CPU,Thread50/Thread10_CPU,Thread100/Thread50_CPU,10_Memory,50_Memory,100_Memory,Thread50/Thread10_Memory,Thread100/Thread50_Memory,Thread50/Thread10_Ratio,Thread100/Thread50_Ratio
OrganizationUsage,create_file_object,0.3500164093869319,0.2787494958395127,0.3191357043263353,0.7963897930607136,1.1448835211887687,12288.0,24854528.0,30998528.0,2022.6666666666667,1.2471984179301252,0.00039373259380061647,0.9179642186275698
OrganizationUsage,create_organization,0.3494880639104071,0.3588530698318974,0.4179192255486979,1.026796354120669,1.1645970473220968,54394880.0,8437760.0,49262592.0,0.15512048192771086,5.838349514563107,6.6193473702536325,0.19947367734959004
OrganizationUsage,create_user_profile,0.3173543177903775,0.3165138558465927,0.2922792486717995,0.9973516605993055,0.9234327132062768,44908544.0,40960.0,270336.0,0.0009120758847136082,6.6,1093.4963606810784,0.1399140474554965
PlanUsage,create_file_object,0.0085244782573069,0.0078894950752444,0.0088160938665088,0.925510610397978,1.1174471601068456,8192.0,8192.0,20480.0,1.0,2.5,0.925510610397978,0.44697886404273823
PlanUsage,create_organization,0.0088132470267665,0.008772451246295,0.0092877191582195,0.9953710839662613,1.058737050507077,40960.0,12288.0,12288.0,0.3,1.0,3.3179036132208712,1.058737050507077
PlanUsage,create_user_profile,0.0085629334819865,0.0082717024914508,0.0089096581375838,0.9659893433543132,1.077125071506423,20480.0,12288.0,253952.0,0.6,20.666666666666668,1.6099822389238554,0.05211895507289143
StorageUsage,create_file_object,0.0605496340699226,0.1498587488452221,0.3143784934661046,2.4749736500829305,2.097832097816342,3751936.0,5812224.0,31039488.0,1.5491266375545851,5.340380549682875,1.5976574090739706,0.39282445853805614
StorageUsage,create_organization,0.0043802381890515,0.0035881978676351,0.0045018059886584,0.8191787096427492,1.254614755017799,73728.0,12288.0,8192.0,0.16666666666666666,0.6666666666666666,4.915072257856496,1.8819221325266986
StorageUsage,create_user_profile,0.043564545448747,0.0033802107772889,0.2031720228930768,0.0775908652889691,60.10631770603105,1052672.0,12288.0,12468224.0,0.011673151750972763,1014.6666666666666,6.646950793088353,0.05923750102434072
TeamUsage,create_file_object,0.016765890021944,0.0797109379234748,0.0189378412382594,4.7543517116684715,0.23758146286574078,102400.0,12288.0,106496.0,0.12,8.666666666666666,39.61959759723727,0.027413245715277784
TeamUsage,create_organization,0.0548033485982895,0.0564448745446931,0.0167171906669238,1.0299530227329,0.29616844402208947,8192.0,8192.0,176128.0,1.0,21.5,1.0299530227329,0.013775276466143696
TeamUsage,create_user_profile,0.0075918576336171,0.0697586250906455,0.0773736415753542,9.188610806102455,1.1091623648661886,8192.0,8192.0,217088.0,1.0,26.5,9.188610806102455,0.041855183579856174
UserPreferenceUsage,create_file_object,0.0052548176501325,0.0073545506554236,0.0052403592343863,1.399582467954555,0.7125328901666899,0.0,385024.0,12288.0,inf,0.031914893617021274,0.0,22.326030558556283
UserPreferenceUsage,create_organization,0.0051106038524345,0.0059978001178284,0.0055933105006194,1.1735991070744554,0.9325603372465416,32768.0,45056.0,61440.0,1.375,1.3636363636363635,0.8535266233268767,0.683877580647464
UserPreferenceUsage,create_user_profile,0.0061324888781463,0.005265045324175,0.0102739416217563,0.8585495104503953,1.9513491317125866,331776.0,0.0,827392.0,0.0,inf,inf,0.0
UserProfileUsage,create_file_object,0.0218216361951302,0.3114542241526146,0.0908118029636139,14.272725535682788,0.2915735152113895,4096.0,6156288.0,1400832.0,1503.0,0.2275449101796407,0.009496158041039779,1.2813888694816329
UserProfileUsage,create_organization,0.0350346692704483,0.3130357336795388,0.1853258667357217,8.935027508411048,0.5920278319581357,118784.0,22982656.0,31371264.0,193.48275862068965,1.3649973266797362,0.04617996751807528,0.4337208728446402
UserProfileUsage,create_user_profile,0.1707072555732816,0.3594384395283982,0.4194583553516526,2.105583844818463,1.1669824627048895,3006464.0,39215104.0,72658944.0,13.043596730245232,1.8528305828284939,0.16142662858750279,0.6298376513860201
OrganizationUsage,type1,0.0085347408243584,0.0087097695723414,0.0087183202838268,1.020507798840647,1.000981737968425,36864.0,73728.0,8192.0,2.0,0.1111111111111111,0.5102538994203235,9.008835641715825
OrganizationUsage,type2,0.0088852675417396,0.0090493909472154,0.0284377071174786,1.0184714083965183,3.1424995652584995,8192.0,454656.0,102400.0,55.5,0.22522522522522523,0.018350836187324655,13.952698069747738
OrganizationUsage,type3,0.0945434193713263,0.1078700061978669,0.1731867876905736,1.1409573179725965,1.6055138383221705,16908288.0,5009408.0,30126080.0,0.29626937984496127,6.013900245298446,3.8510807919794585,0.26696715489707884
PlanUsage,type1,0.0082338239125561,0.0077562535566716,0.0082078774348658,0.9419989592980932,1.0582270647670786,28672.0,24576.0,458752.0,0.8571428571428571,18.666666666666668,1.0989987858477754,0.05669073561252207
PlanUsage,type2,0.0080983356339732,0.0084137613370261,0.0083088312901483,1.0389494480482708,0.9875287588184801,4096.0,98304.0,20480.0,24.0,0.20833333333333334,0.04328956033534462,4.740138042328704
PlanUsage,type3,0.0103685559240277,0.0103265417740203,0.0093227976194051,0.9959479265661251,0.9027995841608429,94208.0,303104.0,122880.0,3.217391304347826,0.40540540540540543,0.30955138258136317,2.226905640930079
StorageUsage,type1,0.0067121854162863,0.0066391697071407,0.0062293293144376,0.9891219171376826,0.9382693302353305,233472.0,880640.0,28672.0,3.7719298245614037,0.03255813953488372,0.2622323222178972,28.818272285799438
StorageUsage,type2,0.0067538279360174,0.0063821810106458,0.0065059977595446,0.9449724024816135,1.0194003818901827,16384.0,86016.0,28672.0,5.25,0.3333333333333333,0.17999474332983115,3.058201145670548
StorageUsage,type3,0.0088868717169957,0.0071790136894284,0.0076364341837229,0.8078223606737671,1.063716342395068,143360.0,45056.0,16384.0,0.3142857142857143,0.36363636363636365,2.570343874871077,2.9252199415864366
TeamUsage,type1,0.0782593848707584,0.1055139480660511,0.2178173992224534,1.348259358801533,2.0643469722704433,2498560.0,4026368.0,25538560.0,1.6114754098360655,6.342828077314344,0.8366614535797916,0.32546159963782606
TeamUsage,type2,0.0567072366915367,0.2036789315330772,0.1709620753020291,3.59176259356463,0.839370444528599,6705152.0,5971968.0,29442048.0,0.8906536346976176,4.9300411522633745,4.0327265882478045,0.17025627547616826
TeamUsage,type3,0.1227967571593886,0.202914391845197,0.2496973234163755,1.6524409645591596,1.2305550195122144,16531456.0,7086080.0,66703360.0,0.4286422200198216,9.413294797687861,3.8550588051796346,0.13072521852969793
UserPreferenceUsage,type1,0.0059836079631657,0.0060460993339584,0.0142482146991255,1.0104437608843007,2.356596197336564,176128.0,98304.0,987136.0,0.5581395348837209,10.041666666666666,1.8103784049177054,0.23468177898787362
UserPreferenceUsage,type2,0.023133959949013,0.0637364288337979,0.0486881090152988,2.755102411099194,0.7638976627049531,1540096.0,4997120.0,5959680.0,3.24468085106383,1.1926229508196722,0.8491135299781123,0.6405190024055276
UserPreferenceUsage,type3,0.0847773182397752,0.067956629283489,0.1247274609291104,0.801589749410186,1.8353979919868488,17670144.0,4820992.0,17809408.0,0.27283263792304124,3.694137638062872,2.938027339809297,0.4968407167820885
UserProfileUsage,type1,0.0088842183725216,0.0091263124283916,0.0187716262123971,1.027249899284194,2.056868681593598,253952.0,339968.0,921600.0,1.3387096774193548,2.710843373493976,0.7673432982604824,0.7587560025434162
UserProfileUsage,type2,0.0274980722003928,0.0789116286628662,0.0690193996560085,2.869714941752861,0.8746416824176799,2027520.0,3309568.0,4554752.0,1.6323232323232324,1.3762376237623761,1.7580555645639433,0.6355310066488178
UserProfileUsage,type3,0.0954613527515693,0.0780573493654461,0.1128080349367511,0.817685347164357,1.4451942815609902,12201984.0,4386816.0,14471168.0,0.3595166163141994,3.298786181139122,2.274402100095817,0.43809880428865566
