Namespace,mean,median,max,min,var,Thread,Action
CPUUsage,0.0033209788458415886,0.0033630928877397,0.0036338533027687,0.0026868784268383,6.946217829923844e-08,10,type1
AuthCPUUsage,0.0033209788458415886,0.0033630928877397,0.0036338533027687,0.0026868784268383,6.946217829923844e-08,10,type1
WebsocketCPUUsage,0.004798042570149434,0.0048616916116441,0.0050361482516594,0.0043346898974092,3.085217840481693e-08,10,type1
WebGatewayCPUUsage,0.05988543552355552,0.0501723353720473,0.1160551246100363,0.0290322440268121,0.000740458836333669,10,type1
JobCPUUsage,0.01471606808305669,0.014918163322348,0.0153352293035238,0.0136119575757577,3.001182055200807e-07,10,type1
UserProfileCPUUsage,0.008535835455844585,0.0087216273829839,0.0088842183725216,0.0074735308641975,1.350609273562356e-07,10,type1
UserPreferenceCPUUsage,0.00578744216880592,0.005813305968674,0.0059836079631657,0.0053846724201311,2.9376789692593292e-08,10,type1
OrganizationCPUUsage,0.00828243230616145,0.0083444113281623,0.0085347408243584,0.0078094597640451,4.242233066389507e-08,10,type1
TeamCPUUsage,0.043251482543475536,0.0372757825025434,0.0782593848707584,0.0229334315539284,0.0003148303556577118,10,type1
PlanCPUUsage,0.007775381121022614,0.0078077002580926,0.0082338239125561,0.0070967120386987,7.371370031155279e-08,10,type1
StorageCPUUsage,0.006418353529983492,0.0064563228755325,0.0067121854162863,0.0059025759486579,4.736582607543882e-08,10,type1
CPUUsage,0.006729272832826925,0.0073047357031969,0.0081566915214588,0.00271651219739,2.650060097472453e-06,10,type2
AuthCPUUsage,0.006729272832826925,0.0073047357031969,0.0081566915214588,0.00271651219739,2.650060097472453e-06,10,type2
WebsocketCPUUsage,0.0046125586695735885,0.004561918066122699,0.0050766401964595,0.004056221448499,6.968264509990079e-08,10,type2
WebGatewayCPUUsage,0.04232588267252064,0.043386279832625954,0.0768014487177053,0.0037340646976568,0.0005556052645048606,10,type2
JobCPUUsage,0.01486017743652382,0.0149317532254162,0.0155280107215579,0.0134737777389039,3.1912142719717996e-07,10,type2
UserProfileCPUUsage,0.0198020206127742,0.0208762955888467,0.0274980722003928,0.0080403861470889,3.32153064282394e-05,10,type2
UserPreferenceCPUUsage,0.016164737428214344,0.01681223648231095,0.023133959949013,0.0054289687090291,2.64036536635541e-05,10,type2
OrganizationCPUUsage,0.00852823948242303,0.00849973024133765,0.0088852675417396,0.0078452563891911,8.767302641176724e-08,10,type2
TeamCPUUsage,0.03354930017351657,0.0328822756608184,0.0567072366915367,0.0086838353970307,0.0002255267257409296,10,type2
PlanCPUUsage,0.00783645470465235,0.0080039591726085,0.0080983356339732,0.0072542160331095,7.907130972947145e-08,10,type2
StorageCPUUsage,0.005997618572213069,0.00589939599858145,0.0067538279360174,0.0052169678472691,1.9337201842721174e-07,10,type2
CPUUsage,0.004045304794155652,0.00383773109052355,0.0059008446658814,0.0027545016434958,5.124367342799556e-07,10,type3
AuthCPUUsage,0.004045304794155652,0.00383773109052355,0.0059008446658814,0.0027545016434958,5.124367342799556e-07,10,type3
WebsocketCPUUsage,0.005627647855562428,0.0056298949004784,0.0064086273218847,0.0050397076458294,1.0291666363424679e-07,10,type3
