
=== ResponseTimeの統計 ===
|   Thread | Action   |   Count |   Mean_ResponseTime_ms |   Median_ResponseTime_ms |   Max_ResponseTime_ms |   Min_ResponseTime_ms |   Variance_ResponseTime_ms |
|---------:|:---------|--------:|-----------------------:|-------------------------:|----------------------:|----------------------:|---------------------------:|
|       10 | type1    |    3590 |                48.5819 |                       45 |                   319 |                    27 |              338.621       |
|       10 | type2    |    3590 |               106.349  |                      102 |                   493 |                    49 |             1227.88        |
|       10 | type3    |    3590 |               167.403  |                      156 |                  1176 |                    71 |             6316.16        |
|       50 | type1    |   17950 |                78.3481 |                       71 |                   493 |                    24 |             1687.38        |
|       50 | type2    |   17950 |               285.195  |                      266 |                  1521 |                    50 |            25667.1         |
|       50 | type3    |   17762 |               359.069  |                      309 |                  2571 |                    58 |            64716.1         |
|      100 | type1    |   35900 |               132.455  |                      119 |                  1336 |                    25 |             7251.44        |
|      100 | type2    |    4949 |              1948.27   |                     1756 |                 14629 |                   104 |                1.64649e+06 |
|      100 | type3    |    2827 |              2062.12   |                     1637 |                 17755 |                   228 |                2.95237e+06 |

=== Metrics Memory使用量の統計 ===
| Namespace                 |        mean |      median |         max |         min |              var |   Thread | Action   |
|:--------------------------|------------:|------------:|------------:|------------:|-----------------:|---------:|:---------|
| MemoryUsage               | 4.16217e+08 | 4.16293e+08 | 4.16342e+08 | 4.159e+08   |      3.10627e+10 |       10 | type1    |
| AuthMemoryUsage           | 4.16217e+08 | 4.16293e+08 | 4.16342e+08 | 4.159e+08   |      3.10627e+10 |       10 | type1    |
| WebsocketMemoryUsage      | 3.61111e+08 | 3.61107e+08 | 3.61202e+08 | 3.61005e+08 |      3.05946e+09 |       10 | type1    |
| WebGatewayMemoryUsage     | 1.20676e+09 | 1.20673e+09 | 1.20714e+09 | 1.20661e+09 |      1.90465e+10 |       10 | type1    |
| JobMemoryUsage            | 3.63025e+08 | 3.63024e+08 | 3.63037e+08 | 3.63016e+08 |      4.73146e+07 |       10 | type1    |
| UserProfileMemoryUsage    | 4.36615e+08 | 4.36576e+08 | 4.36781e+08 | 4.36527e+08 |      5.41735e+09 |       10 | type1    |
| UserPreferenceMemoryUsage | 3.83019e+08 | 3.83054e+08 | 3.83123e+08 | 3.82947e+08 |      4.08899e+09 |       10 | type1    |
| OrganizationMemoryUsage   | 3.9439e+08  | 3.94396e+08 | 3.94412e+08 | 3.94375e+08 |      1.53533e+08 |       10 | type1    |
| TeamMemoryUsage           | 4.21483e+08 | 4.2138e+08  | 4.23678e+08 | 4.21179e+08 |      3.09467e+11 |       10 | type1    |
| PlanMemoryUsage           | 3.82249e+08 | 3.82255e+08 | 3.82255e+08 | 3.82226e+08 |      1.35402e+08 |       10 | type1    |
| StorageMemoryUsage        | 4.15886e+08 | 4.15924e+08 | 4.15982e+08 | 4.15748e+08 |      8.01928e+09 |       10 | type1    |
| MemoryUsage               | 4.17788e+08 | 4.17808e+08 | 4.17997e+08 | 4.17411e+08 |      1.86018e+10 |       10 | type2    |
| AuthMemoryUsage           | 4.17788e+08 | 4.17808e+08 | 4.17997e+08 | 4.17411e+08 |      1.86018e+10 |       10 | type2    |
| WebsocketMemoryUsage      | 3.58076e+08 | 3.58048e+08 | 3.5831e+08  | 3.57945e+08 |      6.92036e+09 |       10 | type2    |
| WebGatewayMemoryUsage     | 1.20489e+09 | 1.20471e+09 | 1.20539e+09 | 1.20442e+09 |      7.09872e+10 |       10 | type2    |
| JobMemoryUsage            | 3.63384e+08 | 3.6333e+08  | 3.63643e+08 | 3.63311e+08 |      1.13747e+10 |       10 | type2    |
| UserProfileMemoryUsage    | 4.40239e+08 | 4.40179e+08 | 4.40717e+08 | 4.3869e+08  |      1.59396e+11 |       10 | type2    |
| UserPreferenceMemoryUsage | 3.86019e+08 | 3.86083e+08 | 3.8613e+08  | 3.8459e+08  |      6.62724e+10 |       10 | type2    |
| OrganizationMemoryUsage   | 3.96557e+08 | 3.96558e+08 | 3.96562e+08 | 3.96554e+08 |      5.57909e+06 |       10 | type2    |
| TeamMemoryUsage           | 4.27745e+08 | 4.2879e+08  | 4.29011e+08 | 4.22306e+08 |      5.14407e+12 |       10 | type2    |
| PlanMemoryUsage           | 3.83161e+08 | 3.8316e+08  | 3.83164e+08 | 3.8316e+08  | 905437           |       10 | type2    |
| StorageMemoryUsage        | 4.22973e+08 | 4.22973e+08 | 4.22986e+08 | 4.22969e+08 |      2.50726e+07 |       10 | type2    |
| MemoryUsage               | 4.11877e+08 | 4.12074e+08 | 4.12398e+08 | 4.0987e+08  |      5.09296e+11 |       10 | type3    |
| AuthMemoryUsage           | 4.11877e+08 | 4.12074e+08 | 4.12398e+08 | 4.0987e+08  |      5.09296e+11 |       10 | type3    |
| WebsocketMemoryUsage      | 3.56186e+08 | 3.56164e+08 | 3.56438e+08 | 3.56151e+08 |      6.04378e+09 |       10 | type3    |
| WebGatewayMemoryUsage     | 1.11316e+09 | 1.11388e+09 | 1.1203e+09  | 1.10234e+09 |      2.24485e+13 |       10 | type3    |
| JobMemoryUsage            | 3.62602e+08 | 3.6239e+08  | 3.69005e+08 | 3.61828e+08 |      2.58496e+12 |       10 | type3    |
| UserProfileMemoryUsage    | 4.28233e+08 | 4.27729e+08 | 4.35597e+08 | 4.23395e+08 |      1.14469e+13 |       10 | type3    |
| UserPreferenceMemoryUsage | 3.6574e+08  | 3.66078e+08 | 3.75599e+08 | 3.57929e+08 |      2.08631e+13 |       10 | type3    |
| OrganizationMemoryUsage   | 3.77699e+08 | 3.76562e+08 | 3.92069e+08 | 3.75161e+08 |      1.39595e+13 |       10 | type3    |
| TeamMemoryUsage           | 3.83235e+08 | 3.7915e+08  | 3.93322e+08 | 3.76791e+08 |      3.80711e+13 |       10 | type3    |
| PlanMemoryUsage           | 3.75832e+08 | 3.75824e+08 | 3.75894e+08 | 3.758e+08   |      7.78822e+08 |       10 | type3    |
| StorageMemoryUsage        | 4.12654e+08 | 4.12697e+08 | 4.12721e+08 | 4.12578e+08 |      2.79599e+09 |       10 | type3    |
| MemoryUsage               | 4.1569e+08  | 4.15715e+08 | 4.15724e+08 | 4.15584e+08 |      2.46913e+09 |       50 | type1    |
