Success,SendDatetime,ReceivedDatetime,Count,ResponseTime,StatusCode,UserProfile,UserPreference,Organization,Team,Plan,PlanCommand,PlanQuery,Storage,Auth,Websocket,WebGateway,Job
true,2025-01-26T13:59:54.26508732+09:00,2025-01-26T13:59:55.264719151+09:00,0,999,200,23971847.217855368,15695836.411244053,36790577.961271845,23977649.865786865,<nil>,43662133.53851922,15188112.932346722,24002854.118686676,8829.408122549132,<nil>,7341067.80513149,26817194.434538074
true,2025-01-26T13:59:59.264698577+09:00,2025-01-26T13:59:59.703333931+09:00,1,438,200,26103491.521219872,7842684.951961339,30818638.834610526,32332025.979205176,<nil>,43325044.81803428,18952676.014601626,23707101.160582107,7517.922176612828,<nil>,7339702.366087137,32731623.865093924
true,2025-01-26T14:00:05.707619649+09:00,2025-01-26T14:00:05.90402116+09:00,2,196,200,30063714.3253113,16394533.891879482,26475539.274562184,36341614.05886138,<nil>,23980036.52142872,11528311.855850173,29895584.58178995,9308.97557522124,<nil>,15109952.28514536,27825694.10314273
true,2025-01-26T14:00:10.707834904+09:00,2025-01-26T14:00:10.9134247+09:00,3,205,200,38932390.82635968,17731867.16859986,26702853.291336276,28070660.5749698,<nil>,22576209.676490385,22574238.049775116,25541333.660880186,7050.513207386785,<nil>,15344995.951064434,28241878.540707126
true,2025-01-26T14:00:15.708397333+09:00,2025-01-26T14:00:15.896759058+09:00,4,188,200,47646345.55802154,23689005.677043043,27596042.432081472,9619507.227458203,<nil>,30337985.595800195,22457455.839053866,24189407.999128327,7050.513207386785,<nil>,12321963.063604856,21465730.634441487
true,2025-01-26T14:00:20.708242061+09:00,2025-01-26T14:00:20.90163841+09:00,5,193,200,44569350.31420088,27279871.12997474,32286993.412050612,15131881.617252871,<nil>,39165391.05926228,28878540.907217667,27645884.390297163,4390.231600184944,<nil>,15444527.093196623,17674479.24972585
true,2025-01-26T14:00:25.707719384+09:00,2025-01-26T14:00:25.902257849+09:00,6,194,200,36395931.68678399,18163016.43791189,26928460.666188896,29338066.489201672,<nil>,33144211.968416356,27403931.64119972,15955517.457246367,4390.231600184944,<nil>,16130573.375279114,16321543.511583125
true,2025-01-26T14:00:30.708027294+09:00,2025-01-26T14:00:30.901592185+09:00,7,193,200,33153229.018412933,18419965.04758526,25200598.98770613,31193173.1062108,<nil>,27248770.833420936,30932227.019428495,8271658.685667702,1352.261472433146,<nil>,8066221.714141173,21274316.341700703
true,2025-01-26T14:00:35.707786363+09:00,2025-01-26T14:00:36.021999047+09:00,8,314,200,49248382.90429989,26065029.368095,7874886.905155863,39193021.644845136,<nil>,24484094.59037216,31494222.470914014,25683154.483751565,1105.4005062176736,<nil>,7304879.211393939,16446507.840231366
true,2025-01-26T14:00:42.148556704+09:00,2025-01-26T14:00:42.337916024+09:00,9,189,200,52137828.39063907,23062887.326966412,15268402.55585344,24255337.82277597,<nil>,27573624.720465027,38765633.48046559,21412202.741205487,855.5045000569628,<nil>,5953777.432289623,16446507.840231366
