Success,SendDatetime,ReceivedDatetime,Count,ResponseTime,StatusCode,UserProfile,UserPreference,Organization,Team,Plan,PlanCommand,PlanQuery,Storage,Auth,Websocket,WebGateway,Job
true,2025-01-26T13:21:02.028142433+09:00,2025-01-26T13:21:02.77624304+09:00,0,748,200,24875047.69341357,12386633.343050992,41163019.19187179,31666450.140723392,<nil>,33765847.60722202,9421217.79895613,15356860.57641239,6387.5243664717345,<nil>,98996.37945797983,175612.63920265267
true,2025-01-26T13:21:07.031991198+09:00,2025-01-26T13:21:07.215528006+09:00,1,183,200,23754960.934803877,15783187.232237717,44321502.53782329,24113491.41247468,<nil>,26666618.039701518,8872154.120143814,22645653.150962368,5062.751812865497,<nil>,105520.44207987608,7714002.387918702
true,2025-01-26T13:21:12.027842319+09:00,2025-01-26T13:21:12.214665259+09:00,2,186,200,23024402.64010739,12788090.579796283,50782306.60093746,31004364.03928102,<nil>,35137253.35031051,11993595.115471255,26790407.965257086,4608.402148300676,<nil>,11448596.698861651,9971762.96358042
true,2025-01-26T13:21:18.459604887+09:00,2025-01-26T13:21:18.652819113+09:00,3,193,200,24211326.497963805,16283826.652726283,51781620.789824,34931881.844183795,<nil>,41145828.054066956,14415562.668426096,25512077.553077586,3049.2690850027075,<nil>,74603961.6170437,16195735.49715931
true,2025-01-26T13:21:23.459514889+09:00,2025-01-26T13:21:23.641915383+09:00,4,182,200,21007673.544222154,21370029.329412963,65836139.07805599,45539913.02831778,<nil>,42294471.047653265,13500738.98710184,25512077.553077586,2446.022017686338,<nil>,115610677.7459374,19883651.876310155
true,2025-01-26T13:21:28.459443209+09:00,2025-01-26T13:21:28.634224182+09:00,5,174,200,24723371.93887942,25294357.842200663,58457927.21267966,50569427.33199198,<nil>,25816488.44811912,24770868.565435898,26583755.344907347,2258.4243452444066,<nil>,128312425.79545149,17522593.300427217
true,2025-01-26T13:21:33.459412729+09:00,2025-01-26T13:21:33.64900792+09:00,6,189,200,25901807.047415573,17324503.856404956,45135719.46489137,54125381.63574442,<nil>,33849597.679968916,29005978.57891283,19260752.67002706,2258.4243452444066,<nil>,153619134.11044776,24755360.076163426
true,2025-01-26T13:21:38.461872657+09:00,2025-01-26T13:21:38.639585381+09:00,7,177,200,28185911.776093956,15670863.036924992,41915675.642294705,51361521.42854477,<nil>,30451841.987313725,38967296.614416644,19092455.243365694,797.2835607846529,<nil>,208831564.77134138,36106986.856115274
true,2025-01-26T13:21:43.459587752+09:00,2025-01-26T13:21:43.639189685+09:00,8,179,200,25767171.421889793,13084689.889669113,37744561.51972443,46470949.72274829,<nil>,28120818.610631052,43251495.123444185,20199574.130264718,797.2835607846529,<nil>,215438387.4939699,32872258.55756226
true,2025-01-26T13:21:48.459797545+09:00,2025-01-26T13:21:48.644214538+09:00,9,184,200,30590787.186057758,10435049.751223447,26673883.917600945,48901664.99011533,<nil>,30495350.90526072,40693253.23953083,7905218.560076853,547.7766633233033,<nil>,222592713.78017902,26617699.097631816
true,2025-01-26T13:21:54.857679827+09:00,2025-01-26T13:21:55.046705933+09:00,10,189,200,31954637.902843542,8684618.069657823,32456770.89803942,45222802.1902955,<nil>,22899306.39289546,39496871.68880765,7716383.040753358,1447.9818669550211,<nil>,222796374.28629938,26813555.37136647
true,2025-01-26T13:21:59.857929798+09:00,2025-01-26T13:22:00.037441293+09:00,11,179,200,28809701.71918863,8934673.142154383,19588943.434179865,30345363.513399772,<nil>,7908605.510284728,71171023.3962569,8417783.931045447,1447.9818669550211,<nil>,212592930.11842865,24270335.60495521
true,2025-01-26T13:22:04.857947643+09:00,2025-01-26T13:22:05.035067188+09:00,12,177,200,22279270.092378248,8934087.997409346,22565312.031641338,22645986.114059504,<nil>,11868990.078219622,66178498.81663165,7964315.61713066,1746.6378009578166,<nil>,194341641.67184675,27664881.002565637
true,2025-01-26T13:22:09.857515296+09:00,2025-01-26T13:22:10.034581364+09:00,13,177,200,16750509.967718275,7440095.092946467,20643760.358533975,18204442.59096843,<nil>,9086535.235838523,92062971.69280475,8063084.260708239,3811.583285328134,<nil>,199749165.10009468,25956782.56139495
true,2025-01-26T13:22:14.857940692+09:00,2025-01-26T13:22:15.037508297+09:00,14,179,200,23409783.186664157,8162195.147213756,19233727.267069817,18202230.119096808,<nil>,14002861.45825291,120610684.2615645,10877489.329407372,3811.583285328134,<nil>,134689480.27411854,21148854.68091105
true,2025-01-26T13:22:19.857747756+09:00,2025-01-26T13:22:20.042917131+09:00,15,185,200,16742643.274571255,8162673.930251649,17172717.333679058,9711658.902005749,<nil>,6785430.594161481,120611014.65339515,18903749.45287418,3811.583285328134,<nil>,121238553.85743874,17003814.697991975
true,2025-01-26T13:22:26.296854904+09:00,2025-01-26T13:22:26.515267386+09:00,16,218,200,10313376.422743635,15690076.969386352,20027716.095540144,8014427.558677943,<nil>,8800205.220107784,129427889.87148708,31726526.58320809,3810.2325581395344,<nil>,102807149.74542649,16523108.97569653
true,2025-01-26T13:22:31.297077469+09:00,2025-01-26T13:22:31.478332058+09:00,17,181,200,7063007.636390506,28243304.94416715,19838199.00457017,10642300.645729717,<nil>,7916364.405181427,149852046.41335842,33891109.96664195,3810.2325581395344,<nil>,90823467.58011967,20219720.233164378
true,2025-01-26T13:22:36.297049077+09:00,2025-01-26T13:22:36.485653071+09:00,18,188,200,7069576.039412726,25812088.15315475,8354866.397126443,7720425.763209756,<nil>,7917304.738944881,159881773.53405973,35414346.721575126,3071.9999999999995,<nil>,71056652.33642522,18561021.380420238
true,2025-01-26T13:22:41.297190786+09:00,2025-01-26T13:22:41.477192344+09:00,19,180,200,7573169.511750848,30155524.820686873,6643149.051147935,7728249.953261298,<nil>,16971246.737225346,161254840.9291065,52041132.326019175,2912.9527783045705,<nil>,134512385.0070868,18561021.380420234
true,2025-01-26T13:22:46.29703849+09:00,2025-01-26T13:22:46.47931013+09:00,20,182,200,14074985.419086918,28189150.27307332,9513.484970045647,7600225.843912012,<nil>,15403593.55946523,145586932.18686065,62224804.44292973,2912.95277830457,<nil>,140629321.56741214,16125716.025191085
