Success,SendDatetime,ReceivedDatetime,Count,ResponseTime,StatusCode,UserProfile,UserPreference,Organization,Team,Plan,Storage,Auth,Websocket,WebGateway,Job
true,2025-01-24T05:15:59.120646524+09:00,2025-01-24T05:16:00.409786774+09:00,0,1289,200,48569551.04977021,27942186.995537195,31766571.67984375,15332135.930578353,17308341.403458178,19982206.661806528,12867840.810818255,<nil>,130347.47780229553,8045870.870342784
true,2025-01-24T05:16:04.125678448+09:00,2025-01-24T05:16:04.365946428+09:00,1,240,200,48682930.807257906,30579879.26873923,37618845.2842556,11402235.009209301,18006501.809308514,14271323.059044829,12867840.810818255,<nil>,140778.58803570643,8045870.870342784
true,2025-01-24T05:16:09.120082803+09:00,2025-01-24T05:16:09.355230707+09:00,2,235,200,44412941.02376544,35642731.783096254,39016529.61687093,18837783.63928437,23900978.50776041,18496495.897043187,9303989.326323757,<nil>,118824.4643895788,8068399.812004853
true,2025-01-24T05:16:14.120857461+09:00,2025-01-24T05:16:14.328401464+09:00,3,207,200,33896660.48869039,35166571.25833613,28833866.578550342,18015000.47620475,18927391.058370613,15280842.00446459,9303989.326323757,<nil>,116589.69450834545,8069169.445550888
true,2025-01-24T05:16:19.120509433+09:00,2025-01-24T05:16:19.366070698+09:00,4,245,200,38753953.65742217,33370779.652163185,32536122.97993827,16356218.314570587,19074686.9633485,12945424.369076263,15212094.447158445,<nil>,117715.4047089388,15786850.95347359
true,2025-01-24T05:16:24.119899978+09:00,2025-01-24T05:16:24.355049811+09:00,5,235,200,43624412.30928189,42332754.44960381,17171781.33171901,25557443.118878555,22255350.44543691,20607158.664118752,10230445.627176557,<nil>,108639.4929851168,16520463.77324307
true,2025-01-24T05:16:29.1206649+09:00,2025-01-24T05:16:29.36002502+09:00,6,239,200,44636964.94046315,41595454.10344168,35208964.25878153,27447046.28998951,31715250.89035669,27099613.07168914,10230445.627176557,<nil>,5737064.5883995965,16520463.77324307
true,2025-01-24T05:16:34.121219157+09:00,2025-01-24T05:16:34.328671561+09:00,7,207,200,39334383.1408437,35467481.03966823,37881003.02688352,21865327.42674958,26368733.324459534,24650648.728945665,9916152.994664483,<nil>,7882609.663884371,16957524.154318843
true,2025-01-24T05:16:39.120417935+09:00,2025-01-24T05:16:39.413960034+09:00,8,293,200,44010745.63926896,37087230.24418694,29830053.54288957,20037081.383104604,25679421.62969708,28538904.703015372,11835668.246205306,<nil>,7860808.958974709,8171134.425535366
true,2025-01-24T05:16:44.120668889+09:00,2025-01-24T05:16:44.367042248+09:00,9,246,200,36930320.765228,39068737.40794683,29133942.396892138,25607854.003999658,26085569.793112356,23900181.669904068,11835668.246205308,<nil>,6426274.460270592,6641324.718100168
true,2025-01-24T05:16:49.121665248+09:00,2025-01-24T05:16:49.346714634+09:00,10,225,200,34591247.926296055,26012270.88431198,24819825.626637872,32230436.885301266,36072862.79172908,26355243.226778187,8726094.526433775,<nil>,6427713.353726581,8130142.441043806
true,2025-01-24T05:16:54.120317624+09:00,2025-01-24T05:16:54.330435771+09:00,11,210,200,36340537.02617397,25981775.585849818,35140771.042906985,40939149.44021745,41057291.349644944,21553836.629095573,11789103.023572762,<nil>,7362150.231377846,6594243.776156912
true,2025-01-24T05:16:59.121677271+09:00,2025-01-24T05:16:59.346161042+09:00,12,224,200,41948279.8899987,24496076.68635596,38200266.38722471,34652196.86616686,42216397.42833017,15892971.184618395,10105553.616789777,<nil>,5585986.047277923,175251.41841222148
true,2025-01-24T05:17:04.120601925+09:00,2025-01-24T05:17:04.357192766+09:00,13,236,200,36956966.92911563,17663686.302489948,36294665.83715168,36818367.10957688,46284535.54012052,17599166.68008632,16617809.417080242,<nil>,128331.3351749633,190457.49293544886
true,2025-01-24T05:17:09.122666255+09:00,2025-01-24T05:17:09.330734766+09:00,14,208,200,37530294.19476914,22452190.76753433,24473267.256915122,24883171.970614254,50285349.548728615,16619047.050073769,22639023.28850115,<nil>,125958.10684825659,15407703.680278543
true,2025-01-24T05:17:14.120130135+09:00,2025-01-24T05:17:14.365878161+09:00,15,245,200,39025808.58917229,32384341.389558394,19337669.089827232,28494801.174932923,53914803.352814995,16348901.568681993,22639023.28850115,<nil>,116737.0151347203,15407703.680278543
true,2025-01-24T05:17:19.120161534+09:00,2025-01-24T05:17:19.341876173+09:00,16,221,200,49580222.64480563,33079096.922807727,17592594.907597993,26061495.876448713,35556511.274388105,9274130.519550053,16456514.09244645,<nil>,119348.06573461814,18431696.426933594
true,2025-01-24T05:17:24.120223553+09:00,2025-01-24T05:17:24.371364843+09:00,17,251,200,42324874.153066725,36053209.34974291,16883730.61853791,23109271.213818945,38792306.69844099,7025653.30323087,10118845.70562114,<nil>,91861.47341299022,17360856.91463972
true,2025-01-24T05:17:29.120582753+09:00,2025-01-24T05:17:29.329421847+09:00,18,208,200,38404099.20849325,47478128.7226766,24748529.860863928,26918588.195277438,30650247.064093854,14802063.471039405,10118845.70562114,<nil>,5897128.939572335,15807222.426465873
true,2025-01-24T05:17:34.121086723+09:00,2025-01-24T05:17:34.32894659+09:00,19,207,200,30047562.179892287,47504136.70927514,17190543.347651508,30277224.845859252,34197141.13022763,15119599.401075376,12117091.856323345,<nil>,5883795.006634232,17448416.43388048
true,2025-01-24T05:17:39.121365015+09:00,2025-01-24T05:17:39.329525185+09:00,20,208,200,26452567.120631997,42133852.50628134,21084881.616087195,26679125.602412436,35869289.67408711,16366669.170966484,9441373.137948457,<nil>,32148233.417295415,18867450.962485615
true,2025-01-24T05:17:44.120180122+09:00,2025-01-24T05:17:44.328031782+09:00,21,207,200,27818625.72703201,31285463.063451037,32583850.67443788,26034831.827243168,37846089.34020549,14882340.318617808,498.29683698296833,<nil>,31566183.22153465,19220916.058082778
true,2025-01-24T05:17:49.121361798+09:00,2025-01-24T05:17:49.330945219+09:00,22,209,200,22107186.57732585,26911418.75167517,43561415.54445501,28773615.70455693,40565657.382322155,14104072.698306937,359.16434662516167,<nil>,57305954.17858378,19220916.058082778
true,2025-01-24T05:17:54.121348185+09:00,2025-01-24T05:17:54.330144607+09:00,23,208,200,20498488.367354568,17574222.34431231,38418767.66897778,34018348.06530277,40541876.08228093,9038312.511859884,359.16434662516167,<nil>,72880649.30534384,5723052.367747651
true,2025-01-24T05:17:59.12110155+09:00,2025-01-24T05:17:59.330351666+09:00,24,209,200,10570741.830948789,16248704.095473249,33566841.64516215,17780566.560854547,39280188.885872364,8704397.501229335,293.8623237794598,<nil>,73692289.13171282,8088704.709223168
true,2025-01-24T05:18:04.120183338+09:00,2025-01-24T05:18:04.327694768+09:00,25,207,200,2531808.2570783393,16248289.188104078,30494537.08686763,11094671.912554402,40650180.7337538,8781295.78515394,305.2843407617202,<nil>,74279797.80279025,8088704.709223168
true,2025-01-24T05:18:09.12062775+09:00,2025-01-24T05:18:09.328879228+09:00,26,208,200,10721033.496193552,8540653.483445443,39119337.538448386,9700187.956870364,38231261.68147609,7579901.320569127,305.2843407617202,<nil>,80274727.11109808,12042659.862986285
true,2025-01-24T05:18:14.120434326+09:00,2025-01-24T05:18:14.331203817+09:00,27,210,200,13576488.52092641,11787.684938029764,34346194.686486766,11125029.0008977,34131988.76221972,1356859.6190443037,227.23574228863077,<nil>,69526701.58021836,10736405.571826316
true,2025-01-24T05:18:19.120377648+09:00,2025-01-24T05:18:19.328894644+09:00,28,208,200,13492826.395234037,13433.773856699627,15036046.912164617,19639012.329547912,19845390.568840697,1364108.0487156094,0,<nil>,61866408.55559376,10736405.571826315
true,2025-01-24T05:18:24.120355775+09:00,2025-01-24T05:18:24.328871931+09:00,29,208,200,23012041.718276944,13768.01608556604,8224314.500755377,19698336.971390948,17933156.398382206,1180673.348145219,0,<nil>,30274333.86719652,8794004.239532772
true,2025-01-24T05:18:29.121159084+09:00,2025-01-24T05:18:29.329309409+09:00,30,208,200,23043960.621162515,7616960.647510793,8215154.155556378,25719303.242659017,16110891.762941102,1057536.6031233412,0,<nil>,18091941.94408621,9907731.739652589
true,2025-01-24T05:18:34.120123811+09:00,2025-01-24T05:18:34.32778972+09:00,31,207,200,20812532.351153035,7616382.219871333,11293403.537616424,44261082.807922885,5437034.173126471,924555.8685410756,0,<nil>,16792989.492290884,9607390.83016672
true,2025-01-24T05:18:39.121221657+09:00,2025-01-24T05:18:39.329163058+09:00,32,207,200,27597648.102666277,11353992.328914393,16407549.928332213,51085273.13454464,1730408.2457823362,977521.4020784365,0,<nil>,7102682.740129991,8033247.089457994
true,2025-01-24T05:18:44.120113082+09:00,2025-01-24T05:18:44.332080098+09:00,33,211,200,31584124.67409624,8946702.843467379,16407954.983734906,53409657.73655629,44530780.9616487,789762.0638386135,0,<nil>,4604748.041285987,7777916.550797589
true,2025-01-24T05:18:49.120158679+09:00,2025-01-24T05:18:49.331387971+09:00,34,211,200,23713395.03993977,7076251.659211999,8263545.511272331,41897085.91604269,60730726.30369531,771900.9448748019,0,<nil>,4762886.285587202,6571324.44515764
true,2025-01-24T05:18:54.120825274+09:00,2025-01-24T05:18:54.328830878+09:00,35,208,200,28738852.25081276,10895427.236550659,9507066.57520161,43019571.40127257,87960084.41862865,609572.3326369066,0,<nil>,74078940.2893014,5852476.849864081
true,2025-01-24T05:18:59.121793249+09:00,2025-01-24T05:18:59.329338477+09:00,36,207,200,33756441.277975835,19996262.968608078,7928815.917739581,29431022.662239593,88277936.67560843,576961.9634551503,0,<nil>,79747988.67088947,4856170.685852384
true,2025-01-24T05:19:04.12074953+09:00,2025-01-24T05:19:04.329409558+09:00,37,208,200,28017471.334714603,17483974.03564667,8126227.964867821,35534914.383245796,103093970.3798115,523764.2057599192,0,<nil>,79216338.64578052,17477435.938500118
true,2025-01-24T05:19:09.120727658+09:00,2025-01-24T05:19:09.329052305+09:00,38,208,200,21961658.454089925,14826725.489007764,16359932.176209,36521586.078303516,123147549.88696967,471127.2649206607,0,<nil>,70049212.39944202,22808138.621502835
true,2025-01-24T05:19:14.12007189+09:00,2025-01-24T05:19:14.328542657+09:00,39,208,200,10040820.364693716,17238011.32889796,16950279.409977037,19463988.17301654,129324422.6994768,24440340.85179592,0,<nil>,77607209.11095096,16482162.139758086
true,2025-01-24T05:19:19.120860591+09:00,2025-01-24T05:19:19.327907844+09:00,40,207,200,10045712.848317867,18375446.29309375,16157402.94325957,19488568.6760125,103147086.93509386,27817501.65972851,1327.255838067875,<nil>,83239382.44073468,17635425.18805405
true,2025-01-24T05:19:24.120615306+09:00,2025-01-24T05:19:24.328427465+09:00,41,207,200,11198481.194507781,16423534.780757438,26762871.679516863,16665571.831542002,95961474.85950714,24742716.36511834,1327.255838067875,<nil>,116681626.99523458,20129471.55956362
true,2025-01-24T05:19:29.121315768+09:00,2025-01-24T05:19:29.32884667+09:00,42,207,200,25107402.252413977,16016074.793051353,26763485.60677042,22351544.82633441,106091189.51535064,22816656.558675814,1816.0097666068223,<nil>,138700956.08454734,20129471.55956362
true,2025-01-24T05:19:34.12105152+09:00,2025-01-24T05:19:34.329707632+09:00,43,208,200,24077416.35839393,16665369.018384075,25756872.849593803,27369838.37863916,107206142.32055065,32704844.419241004,10557123.709243735,<nil>,103092140.46194081,16902612.24384415
true,2025-01-24T05:19:39.120580307+09:00,2025-01-24T05:19:39.330996325+09:00,44,210,200,30556718.96744804,25315354.047043286,27913688.245988633,27725210.843059234,77409232.50790082,45559834.90294746,10557123.709243735,<nil>,97810213.51251604,15977845.83350912
true,2025-01-24T05:19:44.120347238+09:00,2025-01-24T05:19:44.328936892+09:00,45,208,200,26855505.151170276,19494847.418429244,36449395.18836087,19485709.357053015,84058096.25646184,41229852.27562146,10557123.709243735,<nil>,87772632.63756467,1805838.461260819
true,2025-01-24T05:19:49.121432109+09:00,2025-01-24T05:19:49.329003606+09:00,46,207,200,33399408.720548604,15083711.927718043,41070076.13190616,18020246.33276689,84235276.24377532,43324162.95739539,12563349.449731104,<nil>,100814730.11090235,1884689.6050189235
true,2025-01-24T05:19:54.121037508+09:00,2025-01-24T05:19:54.328550202+09:00,47,207,200,45563112.8539574,15083660.072559442,31766845.599996805,8404530.698949588,82658400.59433852,28613733.45705463,9726007.035657045,<nil>,89282119.26023018,2924987.812254347
true,2025-01-24T05:19:59.120852981+09:00,2025-01-24T05:19:59.328171803+09:00,48,207,200,46063936.82852127,8667419.131578218,15710784.725661594,11455869.800504714,91328248.53629729,25505055.553075437,9726007.035657045,<nil>,89444986.36220868,1773998.241870843
true,2025-01-24T05:20:04.121260513+09:00,2025-01-24T05:20:04.32855896+09:00,49,207,200,45873962.84084113,15165872.0386018,11968701.490140479,25826247.994601667,81718633.74143171,25563733.165879603,13835569.165161254,<nil>,58469637.23300438,3956065.509206366
true,2025-01-24T05:20:09.120093189+09:00,2025-01-24T05:20:09.32891581+09:00,50,208,200,33951716.00412676,19472408.498677548,8905832.021829529,28671771.966751322,80634195.77568497,18902243.379054926,19269336.30307905,<nil>,46727097.73497209,3956065.509206366
true,2025-01-24T05:20:14.121361961+09:00,2025-01-24T05:20:14.331233196+09:00,51,209,200,32340341.164742608,22504853.84840532,8893441.59409135,20162974.30596195,60362420.71994823,27780383.54235869,19269336.30307905,<nil>,46722495.26068874,3813524.7312290855
true,2025-01-24T05:20:19.120409291+09:00,2025-01-24T05:20:19.32843507+09:00,52,208,200,29649921.8013491,20554601.412197933,81751.26351279605,25202431.71166688,53165496.409821264,25986179.899686843,14562236.269559253,<nil>,63697281.669423185,4047443.4450160544
true,2025-01-24T05:20:24.12160307+09:00,2025-01-24T05:20:24.328293705+09:00,53,206,200,21300431.721202027,24250289.251626115,9499789.45910416,27507230.459891718,60145679.59742733,15752206.741268331,9546452.849465663,<nil>,99390062.3798423,4458774.662256626
true,2025-01-24T05:20:29.120562337+09:00,2025-01-24T05:20:29.327961056+09:00,54,207,200,9440569.477523271,25859961.4667488,9493643.751310859,26491780.861748416,46052784.95711228,25621402.223427277,9546452.849465663,<nil>,118360496.66294092,3667186.411457292
true,2025-01-24T05:20:34.120737214+09:00,2025-01-24T05:20:34.32891004+09:00,55,208,200,659010.8254787559,24814886.45486393,9507281.46002403,29923921.533908993,49750163.48594704,25621402.223427277,14793798.917001806,<nil>,140247424.32577118,4127733.259499641
true,2025-01-24T05:20:39.121249155+09:00,2025-01-24T05:20:39.330862244+09:00,56,209,200,838950.6515070715,23203092.73211153,12050356.417398028,16974235.065731976,42763283.23770983,24870670.06156644,20598839.807751667,<nil>,135302876.41021284,4531154.562685493
true,2025-01-24T05:20:44.120468204+09:00,2025-01-24T05:20:44.329073979+09:00,57,208,200,876186.9481786786,19642577.345024202,9118077.434964964,18010007.56241365,45715707.469230436,16884470.549263623,20598839.807751667,<nil>,149077338.69329438,4789862.891880325
true,2025-01-24T05:20:49.12043565+09:00,2025-01-24T05:20:49.328482746+09:00,58,208,200,810281.3663870767,16866192.05231332,16513871.768765887,17207977.119634893,52517245.49369877,15406320.096080184,11260840.725028925,<nil>,126455253.96868595,4104384.739597447
true,2025-01-24T05:20:54.120328771+09:00,2025-01-24T05:20:54.328857438+09:00,59,208,200,723194.4803858456,16866192.05231332,19439746.286294974,28512841.862402,62964375.43801787,9479692.573378773,11260840.725028925,<nil>,124941387.67904565,4828113.403451052
true,2025-01-24T05:20:59.120197926+09:00,2025-01-24T05:20:59.327915407+09:00,60,207,200,966101.3241351013,16277078.200306118,19439516.190119963,23823464.566763114,62765591.0094737,9490076.9142117,11260840.725028925,<nil>,114746150.23995094,4828113.403451052
true,2025-01-24T05:21:04.120639661+09:00,2025-01-24T05:21:04.328380777+09:00,61,207,200,913277.9933644625,7673757.352638607,18401106.506851185,19710605.851082727,56550103.731900714,262307.82198668976,20106717.160310153,<nil>,88962300.04541549,5340567.614241891
true,2025-01-24T05:21:09.120911098+09:00,2025-01-24T05:21:09.32887394+09:00,62,207,200,839473.8635948794,10615709.92319136,10338234.085615944,17038716.157594178,46164028.04360334,227079.9405822814,23753780.195754416,<nil>,66558946.52879074,4477350.878867848
true,2025-01-24T05:21:14.121014356+09:00,2025-01-24T05:21:14.333527105+09:00,63,212,200,938089.9869444257,8626359.77743881,7607466.588367612,23347073.21189755,37471947.30210516,197964.01406382333,20449167.491465617,<nil>,66558946.52879074,2380931.42314351
true,2025-01-24T05:21:19.120571227+09:00,2025-01-24T05:21:19.329962996+09:00,64,209,200,924871.2543686654,6927719.671497002,7606608.773428865,18641504.511019744,18880898.884439383,7005397.45194286,18471665.29016906,<nil>,19700481.264088158,5583888.207450898
true,2025-01-24T05:21:24.120192516+09:00,2025-01-24T05:21:24.328353551+09:00,65,208,200,915036.7727607478,11103279.533193655,1724.8831864609324,19466161.415598307,19167882.129339214,8673324.891395258,10652196.069490675,<nil>,19708065.19918323,4907427.535452092
true,2025-01-24T05:21:29.120274771+09:00,2025-01-24T05:21:29.347922931+09:00,66,227,200,927072.0014199237,11101108.805000156,2209.9803971929714,36665970.18648977,29406981.307799034,8665618.529936455,10652196.069490675,<nil>,24689741.11600384,5002165.204693459
true,2025-01-24T05:21:34.120859824+09:00,2025-01-24T05:21:34.328375193+09:00,67,207,200,1035515.319845493,8613991.097303545,3830.020966466765,30983330.620685898,17022236.41539585,9472167.826100303,20998903.99137001,<nil>,20260950.88896211,5724411.983303968
true,2025-01-24T05:21:39.120374437+09:00,2025-01-24T05:21:39.328503061+09:00,68,208,200,1091437.4713428789,7104679.194131682,9149886.570698487,24895588.136498474,19628199.34275743,7711376.971155072,20998903.99137001,<nil>,46806309.76914283,3014258.4673627145
true,2025-01-24T05:21:44.121027328+09:00,2025-01-24T05:21:44.333433427+09:00,69,212,200,1100162.7658494592,4335.346137085649,9151158.062327094,29487880.43989479,34325194.31060983,10589644.832553973,20998903.99137001,<nil>,56807523.92603636,3014258.4673627145
true,2025-01-24T05:21:49.120182653+09:00,2025-01-24T05:21:49.329011387+09:00,70,208,200,1179374.7002992004,15469897.837193457,17084853.859502103,32314880.631763663,35588089.42155604,19075459.898189526,12373768.53104189,<nil>,94654476.3032296,2983770.9824957484
true,2025-01-24T05:21:54.12050235+09:00,2025-01-24T05:21:54.328900395+09:00,71,208,200,1042414.0012621006,22266464.442791346,19375952.3078495,26817020.990753487,32277128.716616247,16490589.981499929,9503923.186459986,<nil>,127674897.17496628,2917836.077553636
true,2025-01-24T05:21:59.12139897+09:00,2025-01-24T05:21:59.331394561+09:00,72,209,200,1132546.733007007,30203185.866244353,30085395.89861493,29631694.156453617,36321910.70791211,9072001.36048236,9503923.186459985,<nil>,136597816.84018484,21334400.518305596
true,2025-01-24T05:22:04.120764122+09:00,2025-01-24T05:22:04.329163506+09:00,73,208,200,1133124.4520719144,26475644.018329296,25625610.334028438,17425083.926171515,47509734.820024215,17777514.047646802,15142401.65953585,<nil>,138621410.06934547,26583474.751262527
true,2025-01-24T05:22:09.1206168+09:00,2025-01-24T05:22:09.331791445+09:00,74,211,200,1148335.5496002045,26753747.111832708,27103206.956458163,9233016.858971393,50036165.91247164,17775906.71630682,11854733.885889623,<nil>,179507253.11644384,26591128.32424863
true,2025-01-24T05:22:14.1211394+09:00,2025-01-24T05:22:14.32867954+09:00,75,207,200,1068753.3540017877,25420591.287646182,35310535.24978583,364166.76939863845,42833043.12742853,14983859.916532151,9214465.009861933,<nil>,170540568.64329404,22555637.853511445
true,2025-01-24T05:22:19.120396415+09:00,2025-01-24T05:22:19.329691878+09:00,76,209,200,1109694.3350509738,27188317.79096509,25923743.409274183,321008.0025878676,60184433.82230619,17279543.295825955,0,<nil>,182464760.4040692,43853382.89964473
true,2025-01-24T05:22:24.12080744+09:00,2025-01-24T05:22:24.32917666+09:00,77,208,200,1079601.168538112,17040773.714850873,17379257.559954714,196654.26932489706,77338597.87207697,17290280.12017196,0,<nil>,159452823.09809017,43986023.13831724
true,2025-01-24T05:22:29.121713855+09:00,2025-01-24T05:22:29.328997718+09:00,78,207,200,1145165.4491227628,17041847.658564616,9441741.59291649,100559.1971300973,81281600.77014096,14508649.019131161,0,<nil>,159452823.09809017,58334011.42886065
true,2025-01-24T05:22:34.124876397+09:00,2025-01-24T05:22:34.338079459+09:00,79,213,200,1060149.943628758,246084.22779006712,2277.8180541657075,10521010.201526044,63513949.98044319,17006984.560078472,0,<nil>,103160128.11750746,52458739.46077934
true,2025-01-24T05:22:39.124311689+09:00,2025-01-24T05:22:39.332994813+09:00,80,208,200,859838.8905638449,7493469.843002735,7661331.809519541,10471444.839036949,80249226.14894757,15397153.38168022,0,<nil>,120434725.46012822,52744297.578110784
true,2025-01-24T05:22:44.124313153+09:00,2025-01-24T05:22:44.331540197+09:00,81,207,200,784439.4551464709,10397427.106570616,11361174.876099408,10478062.077294651,90127173.23312666,11887570.352999793,5313.442516620723,<nil>,149799395.03008652,52744297.578110784
true,2025-01-24T05:22:49.123903909+09:00,2025-01-24T05:22:49.331309151+09:00,82,207,200,781042.4235582985,8094475.650287567,8286724.693103914,11433129.607232729,99307208.36743517,8077263.38608851,7151.590812081751,<nil>,149494740.8005382,31333710.837796297
true,2025-01-24T05:22:54.12514062+09:00,2025-01-24T05:22:54.334174312+09:00,83,209,200,582515.0316750156,8092022.481813513,8289179.605256351,11442772.879729232,61857155.392467186,8080913.938255954,11600623.417878594,<nil>,128416991.08663315,24088299.05858006
true,2025-01-24T05:22:59.12519549+09:00,2025-01-24T05:22:59.333387282+09:00,84,208,200,495509.1782054846,18305294.65706151,21399557.414105974,21071272.483710166,55167654.64415229,12836469.369843388,11600623.417878594,<nil>,138725038.27621853,28338802.493882693
