LastActionCode,TotalTime_count,TotalTime_mean,TotalTime_max,TotalTime_min,TotalTime_median,TotalTime_var,thread,action,record_count
CREATE_USER_PREFERENCE,11,3619.0,3925,3111,3703.0,90813.60000000002,10,create_user_profile,33
CREATE_USER_PROFILE,11,2141.2727272727275,2416,1967,2110.0,16690.2181818182,10,create_user_profile,33
CREATE_FILE_OBJECT,20,1492.9,1747,1258,1496.5,29410.83157894737,10,create_file_object,60
VALIDATE_FILE_OBJECT,20,492.5,758,253,496.0,31535.736842105256,10,create_file_object,60
CREATE_DEFAULT_TEAM_AND_ADD_INITIAL_DEFAULT_TEAM_USER,8,4974.375,5165,4762,4949.0,26066.267857142837,10,create_organization,40
CREATE_ORGANIZATION_AND_ADD_INITIAL_ORGANIZATION_USER,8,3347.5,3628,3253,3263.0,19074.285714285703,10,create_organization,40
VALIDATE_ORGANIZATION,8,1357.5,1445,1269,1357.5,8552.285714285716,10,create_organization,40
VALIDATE_USER,8,2307.625,2433,2258,2269.5,6068.55357142857,10,create_organization,40
CREATE_TEAM_AND_ADD_INITIAL_TEAM_USER,9,3336.777777777778,3647,3152,3285.0,26741.944444444438,10,create_team,32
VALIDATE_ORGANIZATION_AND_ORGANIZATION_USER_EXIST,8,2299.125,2453,2140,2280.5,11100.696428571424,10,create_team,32
VALIDATE_TEAM,7,1333.5714285714287,1464,1264,1293.0,8107.2857142857065,10,create_team,32
CREATE_TASK_AND_ATTACH_FILE_OBJECT,14,6770.571428571428,6867,6629,6786.0,6517.956043956048,10,create_task,84
VALIDATE_FILE_OBJECT,14,5763.428571428572,5840,5641,5798.5,6450.725274725295,10,create_task,84
VALIDATE_TASK,14,1534.2857142857142,1826,1116,1658.0,68326.3736263736,10,create_task,84
VALIDATE_TEAM,14,4534.928571428572,4804,4148,4636.0,55451.76373626373,10,create_task,84
VALIDATE_USER,14,3108.4285714285716,3315,2805,3145.5,27374.879120879123,10,create_task,84
CREATE_USER_PREFERENCE,17,3129.294117647059,4207,2154,3223.0,351375.8455882353,1,create_user_profile,51
CREATE_USER_PROFILE,17,2059.9411764705883,2616,1566,2129.0,97737.18382352938,1,create_user_profile,51
CREATE_FILE_OBJECT,13,2108.3076923076924,2338,1625,2225.0,63773.897435897445,1,create_file_object,39
VALIDATE_FILE_OBJECT,13,1101.6923076923076,1328,625,1197.0,60634.73076923078,1,create_file_object,39
CREATE_DEFAULT_TEAM_AND_ADD_INITIAL_DEFAULT_TEAM_USER,14,4071.285714285714,4830,3271,4196.5,224407.14285714287,1,create_organization,70
CREATE_ORGANIZATION_AND_ADD_INITIAL_ORGANIZATION_USER,14,3090.0,3791,2272,3184.5,208043.3846153848,1,create_organization,70
VALIDATE_ORGANIZATION,14,1097.2857142857142,1301,775,1210.5,46541.758241758216,1,create_organization,70
VALIDATE_USER,14,2092.285714285714,2788,1273,2186.5,206031.75824175827,1,create_organization,70
CREATE_TEAM_AND_ADD_INITIAL_TEAM_USER,15,2903.4,3315,2673,2782.0,59988.54285714284,1,create_team,60
VALIDATE_ORGANIZATION_AND_ORGANIZATION_USER_EXIST,15,1892.7333333333333,2310,1665,1781.0,58096.066666666666,1,create_team,60
VALIDATE_TEAM,15,920.4,1303,624,785.0,68286.97142857143,1,create_team,60
CREATE_TASK_AND_ATTACH_FILE_OBJECT,13,4998.153846153846,6196,4111,4827.0,463039.64102564106,1,create_task,78
VALIDATE_FILE_OBJECT,13,3993.846153846154,5191,3143,3797.0,420193.64102564106,1,create_task,78
VALIDATE_TASK,13,844.3076923076923,1279,585,790.0,50842.73076923076,1,create_task,78
VALIDATE_TEAM,13,2953.923076923077,4216,2130,2818.0,420679.24358974356,1,create_task,78
VALIDATE_USER,13,1912.6923076923076,2693,1676,1795.0,81897.06410256414,1,create_task,78
