ClientTotalTime_count,ClientTotalTime_mean,ClientTotalTime_max,ClientTotalTime_min,ClientTotalTime_median,ClientTotalTime_var,thread,action,record_count
11.0,3659.4545454545455,3925.0,3112.0,3783.0,95013.87272727271,10,create_user_profile,33
20.0,1492.8,1748.0,1257.0,1495.5,29590.8,10,create_file_object,60
8.0,5057.75,5166.0,4935.0,5051.5,11715.92857142857,10,create_organization,40
8.0,3492.25,3647.0,3317.0,3474.5,11050.785714285714,10,create_team,32
14.0,6807.928571428572,6982.0,6629.0,6819.5,12190.84065934066,10,create_task,84
17.0,3129.3529411764707,4207.0,2153.0,3223.0,351633.24264705885,1,create_user_profile,51
13.0,2108.3846153846152,2338.0,1625.0,2224.0,63817.08974358976,1,create_file_object,39
14.0,4070.9285714285716,4830.0,3271.0,4195.5,224437.14835164836,1,create_organization,70
15.0,2903.866666666667,3315.0,2673.0,2782.0,59982.123809523815,1,create_team,60
13.0,4998.384615384615,6196.0,4111.0,4827.0,463134.25641025626,1,create_task,78
