SeverTotalTime_count,SeverTotalTime_mean,SeverTotalTime_max,SeverTotalTime_min,SeverTotalTime_median,SeverTotalTime_var,thread,action,record_count
68.0,2592.688070264706,2979.244793,1858.921539,2791.9680175,134604.29273909042,200,create_user_profile,204
71.0,1702.4395530000002,1959.1549109999999,1496.186666,1652.177225,18462.389266297854,200,create_file_object,216
64.0,3807.6237916718746,4279.546901,2603.9151129999996,3924.2243555,200806.46158638157,200,create_organization,325
60.0,2520.156435733333,3088.837526,1992.572357,2467.823185,109679.95673282356,200,create_team,240
63.0,5072.6912752222215,6874.323897,3318.642394,4839.761842,736564.9445917055,200,create_task,378
44.0,2977.633697136364,3439.745517,2625.6349499999997,2957.074299,33744.00909737302,400,create_user_profile,132
38.0,1874.5806166842108,2147.6601220000002,1690.617027,1844.5368919999999,15381.678587888204,400,create_file_object,114
14.0,22719.376278714284,58524.879831,7628.49302,16244.658864500001,292456708.4207025,400,create_organization,70
63.0,2992.812404190476,4395.57656,1828.811079,3049.9136820000003,358050.4558636839,400,create_team,256
13.0,31634.856960153844,68835.491175,13538.288507000001,37270.275570000005,400319586.24447423,400,create_task,78
60.0,2570.6412314999993,3287.068026,2196.7455029999996,2456.567372,123550.46088134324,40,create_user_profile,180
61.0,1486.6766997540983,1589.325898,1257.991014,1501.1812739999998,8880.382206126142,40,create_file_object,183
62.0,3196.9159452903223,3565.408175,2246.507615,3233.2362525,105543.6001190347,40,create_organization,320
64.0,2429.4336010625,2785.789249,1809.908255,2488.6174009999995,62494.17046709464,40,create_team,260
59.0,4291.64509322034,5019.319283,3334.551964,4426.589721,253063.02955174103,40,create_task,378
